review_item_id,paper_id,dimension,category_field,prior_category,final_category,score_field,prior_score,final_score,score_state,evidence_page_or_section,decision_rationale,review_decision,reviewer_name,reviewer_affiliation,review_date,signature_or_initials,row_completion,source_workbook_sha256
F015,ESR_Park2025_223,physical_consistency,physical_diagnostic_fields,,coupled_validation,physical_consistency_score,4,4,scored,"PDF p. 1, Abstract; pp. 10–17, Results, Figs. 9–15",THM流动–地质力学模拟与InSAR地表形变观测算子共同进入并被定量检验，且用于羽流和形变预测，满足流动–监测耦合验证、4分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F016,ESR_Tariq2023_174,physical_consistency,physical_diagnostic_fields,,diagnostic_checked,physical_consistency_score,3,3,scored,"PDF pp. 3–6, governing/mass-balance setup; pp. 9–12, Results",全文报告质量平衡设置，并对压力、饱和度和羽流响应进行定量测试，满足物理诊断门槛；没有独立监测或风险过程的耦合验证，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F017,ESR_Um2024_104,physical_consistency,physical_diagnostic_fields,,coupled_validation,physical_consistency_score,3,4,scored,"PDF p. 3, Abstract; pp. 15–19, multiphysics imaging results",由流动状态经地震、电磁和重力观测过程生成数据，联合网络的饱和度成像再与真值比较，构成流动–多物理监测耦合验证，满足4分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F018,ESR_Zhang2025_115,physical_consistency,physical_diagnostic_fields,,diagnostic_checked,physical_consistency_score,3,3,scored,"PDF pp. 5–8, constrained loss; pp. 14–22, saturation-bound diagnostics",动态相对渗透率、毛管压力和饱和度范围约束被编码，并以最大–最小值及越界量定量检查；未验证流动与监测/风险耦合，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F019,ESR_Zhang2025_178,physical_consistency,physical_diagnostic_fields,,diagnostic_checked,physical_consistency_score,4,3,scored,"PDF pp. 4–8, governing equations and exact-solution checks; p. 11, field-scale check",控制方程解以精确解、冲击传播和场尺度传播时间定量检查，满足物理诊断；未耦合独立监测或风险过程，因此由4分调整为3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F020,ESR_Zhou2026_127,physical_consistency,physical_diagnostic_fields,,coupled_validation,physical_consistency_score,4,4,scored,"PDF pp. 5–13, coupled hydrodynamic–geochemical method; pp. 18–21, Results",模型顺序耦合多相流动与地球化学反应，并用Verma–Pruess关系更新孔隙度–渗透率且验证多场响应，属于流动–反应风险耦合验证、4分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F021,Gahlot2025_DigitalShadow,physical_consistency,physical_diagnostic_fields,,coupled_validation,physical_consistency_score,3,4,scored,"PDF pp. 2–4, workflow and flow–seismic truth comparisons",数字影子把多相流状态连接到三维地震观测模型，并在未见真值上检验后验羽流，满足流动–监测过程耦合验证；因此记4分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F022,Lu2022_BayesianOptimization,physical_consistency,physical_diagnostic_fields,,diagnostic_checked,physical_consistency_score,3,3,scored,"PDF pp. 2–5, compositional flow model; pp. 6–8, simulator-checked optimization",贝叶斯优化提出的注入方案由高保真多相流模拟器逐批评价，累计封存量与压力/产出响应得到定量检查；无独立监测或风险耦合，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F023,Seabra2024_AIEnhancedDA,physical_consistency,physical_diagnostic_fields,,diagnostic_checked,physical_consistency_score,4,3,scored,"PDF pp. 14–16, surrogate tests; pp. 17–24, posterior and DARTS verification",代理的压力和CO₂摩尔分数及最终后验由高保真DARTS定量复核，满足物理诊断；只验证流动状态，未耦合监测/风险过程，故由4分调整为3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F024,Shokouhi2021_PhysicsInformedSite,physical_consistency,physical_diagnostic_fields,,encoded_or_simplified,physical_consistency_score,4,2,scored,"PDF pp. 1–10, full slide deck, PINN loss and simulation results",材料显示控制方程和边界条件进入PINN损失，但未给出独立测试上的残差、守恒或其他物理诊断；按规则只能记显式编码、2分，不能由名称推到4分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F025,TARGET_JointInversion2023_2022JB025372,physical_consistency,physical_diagnostic_fields,,coupled_validation,physical_consistency_score,4,4,scored,"PDF pp. 8–15, differentiable rock physics and joint inversion; pp. 17–19, Results",CO₂饱和度经可微岩石物理、波动与电磁正演共同约束，并用联合地震–电磁数据检验反演，覆盖流动状态与监测物理耦合，满足4分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F026,Tang2022_DLDataAssimilationForecasting,physical_consistency,physical_diagnostic_fields,,diagnostic_checked,physical_consistency_score,3,3,scored,"PDF pp. 9–13, pressure/plume forecasts and simulator checks",压力时间序列和CO₂羽流半径与参考多层模拟真值定量比较，满足决策相关物理诊断；没有独立监测物理的联合验证，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F027,Teng2024_LikelihoodFreeDA,physical_consistency,physical_diagnostic_fields,,diagnostic_checked,physical_consistency_score,3,3,scored,"PDF pp. 9–12, surrogate tests; pp. 29–40, ECLIPSE/posterior comparisons",代理及后验压力、饱和度场均与ECLIPSE真值系统比较并报告误差，满足物理诊断；未验证流动–监测或风险耦合，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F028,Wang2025_4DHistoryMatching,physical_consistency,physical_diagnostic_fields,,diagnostic_checked,physical_consistency_score,3,3,scored,"PDF pp. 24–30, surrogate tests; pp. 31–46, Section 6",压力/饱和度代理在独立测试集上与全物理结果比较，并显式估计代理误差，满足物理诊断；未形成流动与独立监测过程的耦合验证，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F029,Witte2023_WNO,physical_consistency,physical_diagnostic_fields,,diagnostic_checked,physical_consistency_score,3,3,scored,"PDF pp. 5–6, multiphase-flow setup; pp. 10–11, OPM saturation comparisons",WNO/FNO饱和度历史与OPM全物理模拟在测试样本上逐场定量比较，满足羽流/饱和度物理诊断；无监测或风险耦合，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F030,Zhong2019_PressureAnomaly,uncertainty,uncertainty_calibration_category,not_reported,uncertainty_reported_not_calibrated,uncertainty_score,4,2,scored,"PDF pp. 15–17, Sections 3.2–4.2, Figs. 6–8",论文报告蒙特卡洛95%区间并将其用于异常阈值，但没有经验覆盖率、校准误差或可靠性图；因此是不确定性已报告但未校准、2分，而不是4分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F031,ESR_Wang2024_089,field_evidence,field_validation_category,field_workflow_evaluation,operating_storage_site_evaluation,field_evidence_score,3,3,scored,"PDF pp. 9–11, Section 2.1; p. 22, Section 2.3; pp. 29–36, Results",ML直接以IBDP/ICCS运行注入项目的实际测井及解释结果训练和测试，并评价现场CO₂饱和度；两个项目位于同一场址，故单一运行场地评价、3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F032,Leong2024_SeisCO2Net,field_evidence,field_validation_category,controlled_field_evaluation,controlled_field_experiment_evaluation,field_evidence_score,3,2,scored,"PDF p. 18, Fig. 4; pp. 35–48, Frio–II field application",合成训练的网络直接应用于Frio–II计划注入试验的现场时移地震并反演饱和度；按WP9.3受控现场试验门槛记2分，不等同运行场地或多现场验证。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F033,Lin2020_PressureLeakage,field_evidence,field_validation_category,controlled_field_evaluation,controlled_field_experiment_evaluation,field_evidence_score,3,2,scored,"PDF pp. 6–7, Section 2.1; pp. 13, 18–26, test/results",模型在Cranfield人工放泄形成的现场压力序列上评价泄漏检测；这是受控现场实验而非正常运行储存场地或跨现场验证，故2分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F034,Lu2025_GISMLSite,field_evidence,field_validation_category,field_workflow_evaluation,operating_storage_site_evaluation,field_evidence_score,3,3,scored,"PDF p. 3, Section 2.1.1; p. 7, Section 3.1; p. 16, Section 4.3",ML输出与中国唯一运行深部咸水层项目的GIS适宜性基准直接比较，八项指标另经工程检查；属于单一运行场地直接评价，未跨场地，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F035,Zhong2019_PressureAnomaly,field_evidence,field_validation_category,controlled_field_evaluation,controlled_field_experiment_evaluation,field_evidence_score,3,2,scored,"PDF p. 13, Section 3.1; pp. 15–17, Figs. 6–8",训练后的ConvLSTM直接在90分钟CO₂受控释放压力数据上评价异常检测；按受控现场试验记2分，不将其提升为运行场地或多现场验证。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F036,ESR_Chan2024_124,transferability,ood_test_category,legacy_explicit_ood_test,unseen_parameter_range,transferability_score,2,2,scored,"PDF pp. 5–6, Section 3; pp. 8–9, Sections 4.3–4.4, Figs. 4 and 9",模型用粗化网格数据训练、在原始细网格上测试，属于明确的分辨率/参数范围外推；仍是同一IBDP模拟场景，不是跨地质或跨现场，故2分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F037,ESR_Hassani2024_118,transferability,ood_test_category,legacy_explicit_ood_test,unseen_parameter_range,transferability_score,2,2,scored,"PDF pp. 7–9, chronological train/test design and forecast results",按时间顺序以前75%训练、未来25%测试，明确检验未见时间范围；没有未见地质、工况或跨现场轴，故unseen_parameter_range、2分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F038,ESR_Tang2022_226,transferability,ood_test_category,legacy_explicit_ood_test,unseen_parameter_range,transferability_score,2,2,scored,"PDF pp. 29–31, Section 4.3, Figs. 8–9",训练时间点止于10年，测试明确延伸到12和16年，属于时间范围外推；其余地质与边界条件未构成独立OOD轴，故2分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F039,ESR_Zhang2025_115,transferability,ood_test_category,legacy_explicit_ood_test,unseen_parameter_range,transferability_score,3,2,scored,"PDF pp. 10–13, extrapolation setup; pp. 19–22, OOD results",全文明确用超出训练区间的渗透率/物性范围测试模型，满足单一参数范围OOD；未见独立地质结构、井控或跨现场轴，故2分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F040,Leong2024_SeisCO2Net,transferability,ood_test_category,legacy_explicit_ood_test,unseen_geology_or_faults,transferability_score,2,3,scored,"PDF pp. 20–23, synthetic training generation; pp. 35–48, Frio–II field test",网络仅由合成储层–地震样本开发，最终在未进入训练的Frio–II真实地质实现和现场响应上测试；这是未见地质实现的迁移证据，但不是跨现场留出，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F041,Lin2020_PressureLeakage,transferability,ood_test_category,legacy_explicit_ood_test,unseen_schedule_or_boundary,transferability_score,2,3,scored,"PDF pp. 6–7, baseline/leak design; pp. 11–13, Sections 3.1–3.2; pp. 18–26, Results",模型从无泄漏基线学习，并在未进入训练的人工泄漏运行状态上评价，构成明确的未见工况/边界转移；非跨地质或跨现场，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F042,Seabra2024_AIEnhancedDA,transferability,ood_test_category,legacy_explicit_ood_test,unseen_geology_or_faults,transferability_score,3,3,scored,"PDF p. 16, Section 6.2, Fig. 10; pp. 17–24, Results",参考渗透率模型明确在先验地质分布之外，并用于合成观测和完整同化测试，属于未见地质条件；仍为模拟且无跨现场，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F043,Tang2022_DLDataAssimilationForecasting,transferability,ood_test_category,legacy_explicit_ood_test,unseen_geology_or_faults,transferability_score,3,3,scored,"PDF pp. 3–6, Sections 2–3; pp. 9–14, Results and limitations",单层先验/代理被用于匹配多层高保真参考模型生成的观测，结构失配是明确的未见地质轴；没有现场留出，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F044,Tang2024_GNNFaulted,transferability,ood_test_category,legacy_explicit_ood_test,unseen_parameter_range,transferability_score,3,2,scored,"PDF pp. 9–13, test design; pp. 18–21, temporal extrapolation results",未见网格、井位和渗透率样本仍来自同一生成机制；可确认的分布外证据是550至950天的时间外推，因此按单一参数/时间轴记2分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F045,VoThanh2026_DigitalTwinGNN,transferability,ood_test_category,legacy_explicit_ood_test,same_distribution_only,transferability_score,3,0,scored,"PDF pp. 5–6, Section 3.2 and realization split; pp. 13, 21–22, test results",三个测试实现与48个开发场景来自同一LHS和高斯随机地质生成机制，只是按实现留出，未定义训练分布之外的轴；按规则是明确同分布留出、0分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F046,Wen2021_PlumeDNN,transferability,ood_test_category,legacy_explicit_ood_test,unseen_parameter_range,transferability_score,3,2,scored,"PDF pp. 8–12, injection-duration experiment and extrapolation results",训练注入时长覆盖20–120天，测试延伸至120–200天，属于明确时长范围外推；井位测试位于既定采样范围内，不能再升为多OOD轴，故2分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F047,Wen2022_UFNO,transferability,ood_test_category,legacy_explicit_ood_test,unseen_parameter_range,transferability_score,2,2,scored,"PDF pp. 20–21, Inference at unseen time steps, Table 4",模型在加密到48个时间步的新时间分辨率上无再训练测试，属于分辨率/时间参数外推；没有未见地质、边界或跨现场轴，故2分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F048,Zhong2019_PressureAnomaly,transferability,ood_test_category,legacy_explicit_ood_test,unseen_schedule_or_boundary,transferability_score,2,3,scored,"PDF p. 13, Section 3.1; pp. 16–18, controlled-release and sensitivity results",模型在基线无泄漏数据上训练，并对训练未见的受控释放/泄漏运行状态评价，构成未见工况或边界条件；不是跨现场，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F049,ESR_Tang2022_226,uncertainty,uncertainty_calibration_category,legacy_uncertainty_calibration_or_posterior_check,posterior_predictive_check,uncertainty_score,3,3,scored,"PDF pp. 32–35, Section 4.4, Figs. 11–12",ES–MDA后验集合在观测时刻和未来时刻与独立数值真值比较，并报告均值、标准差和RMSE，属于后验预测检查；未进入实际决策，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F050,Mo2018_EncoderDecoderUQ,uncertainty,uncertainty_calibration_category,legacy_uncertainty_calibration_or_posterior_check,calibration_or_interval_reliability_test,uncertainty_score,3,3,scored,"PDF pp. 22–24, Section 4.2.2, Figs. 16–19","代理蒙特卡洛的均值、方差和概率密度与同输入下20,000次高保真MC参考统计直接比较，属于分布可靠性检验；未传播到决策，故3分。",changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F051,Zhang2021_LearningInversionFreeForecast,uncertainty,uncertainty_calibration_category,legacy_uncertainty_calibration_or_posterior_check,posterior_predictive_check,uncertainty_score,3,3,scored,"PDF pp. 3–6, Sections 2–3; pp. 8–11, prediction cases and truth comparisons",LIP生成后验预测分布，并在多个合成真值案例上比较后验均值、标准差与真值响应，满足后验预测检查；未连接操作决策，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
