analysis_version,analysis_status,universe,application_group,dimension,total_N,available_n,score_0_n,score_1_n,score_2_n,score_3_n,score_4_n,score_ge3_n,score_ge3_proportion,score_ge3_wilson95_low,score_ge3_wilson95_high,median_score,unknown_n,not_reported_n,unclear_n,not_applicable_n,unscored_n
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",field_evidence_score,9,9,1,6,2,0,0,0,0.000,0.000,0.299,1.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",physical_consistency_score,9,9,0,1,1,3,4,7,0.778,0.453,0.937,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",uncertainty_score,9,9,2,3,2,2,0,2,0.222,0.063,0.547,1.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",transferability_score,9,9,6,0,1,2,0,2,0.222,0.063,0.547,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",decision_readiness_score,9,9,0,0,6,3,0,3,0.333,0.121,0.646,2.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Monitoring, inversion and updating",field_evidence_score,13,13,7,4,1,1,0,1,0.077,0.014,0.333,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Monitoring, inversion and updating",physical_consistency_score,13,13,0,1,0,10,2,12,0.923,0.667,0.986,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Monitoring, inversion and updating",uncertainty_score,13,13,1,1,3,5,3,8,0.615,0.355,0.823,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Monitoring, inversion and updating",transferability_score,13,13,8,2,0,3,0,3,0.231,0.082,0.503,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Monitoring, inversion and updating",decision_readiness_score,13,13,0,2,9,2,0,2,0.154,0.043,0.422,2.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Operation and control,field_evidence_score,7,7,1,5,0,1,0,1,0.143,0.026,0.513,1.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Operation and control,physical_consistency_score,7,7,0,1,1,4,1,5,0.714,0.359,0.918,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Operation and control,uncertainty_score,7,7,2,1,4,0,0,0,0.000,0.000,0.354,2.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Operation and control,transferability_score,7,7,4,1,1,1,0,1,0.143,0.026,0.513,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Operation and control,decision_readiness_score,7,7,0,0,4,3,0,3,0.429,0.158,0.750,2.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Screening and characterization,field_evidence_score,4,4,0,2,0,2,0,2,0.500,0.150,0.850,2.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Screening and characterization,physical_consistency_score,4,4,0,3,1,0,0,0,0.000,0.000,0.490,1.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Screening and characterization,uncertainty_score,4,4,4,0,0,0,0,0,0.000,0.000,0.490,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Screening and characterization,transferability_score,4,4,2,2,0,0,0,0,0.000,0.000,0.490,0.5,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Screening and characterization,decision_readiness_score,4,4,0,0,4,0,0,0,0.000,0.000,0.490,2.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Storage dynamics and surrogates,field_evidence_score,22,21,13,6,1,1,0,1,0.048,0.008,0.227,0.0,0,1,0,0,1
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Storage dynamics and surrogates,physical_consistency_score,22,22,0,5,2,14,1,15,0.682,0.473,0.836,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Storage dynamics and surrogates,uncertainty_score,22,21,15,3,1,2,0,2,0.095,0.027,0.289,0.0,0,1,0,0,1
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Storage dynamics and surrogates,transferability_score,22,21,12,1,8,0,0,0,0.000,0.000,0.155,0.0,0,1,0,0,1
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Storage dynamics and surrogates,decision_readiness_score,22,22,0,12,10,0,0,0,0.000,0.000,0.149,1.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Unmapped applications,field_evidence_score,1,1,1,0,0,0,0,0,0.000,0.000,0.793,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Unmapped applications,physical_consistency_score,1,1,0,0,0,0,1,1,1.000,0.207,1.000,4.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Unmapped applications,uncertainty_score,1,1,0,0,0,1,0,1,1.000,0.207,1.000,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Unmapped applications,transferability_score,1,1,1,0,0,0,0,0,0.000,0.000,0.793,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Unmapped applications,decision_readiness_score,1,1,0,0,1,0,0,0,0.000,0.000,0.793,2.0,0,0,0,0,0
