analysis_version,analysis_status,universe,application_group,data_regime,n,N,proportion_of_total,source_paper_ids
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,synthetic simulation,30,57,0.526,Baek2023_WellboreLeakage;Diplas2026_DOEInjection;ESR_Chen2024_119;ESR_Falola2024_123;ESR_Hassani2024_118;ESR_Kadeethum2024_128;ESR_Kanakaki2025_045;ESR_Liu2025_121;ESR_Pawar2023_168;ESR_Tang2024_135;ESR_Tariq2023_174;ESR_Wu2025_042;ESR_Zheng2025_207;ESR_Zhou2026_127;Han2024_HierarchicalMCMC;Lin2020_PressureLeakage;Lu2022_BayesianOptimization;Mo2018_EncoderDecoderUQ;Seabra2024_AIEnhancedDA;Shokouhi2021_PhysicsInformedSite;Tang2024_GNNFaulted;Teng2024_LikelihoodFreeDA;VoThanh2026_DigitalTwinGNN;Wen2021_CCSNet;Wen2021_PlumeDNN;Wen2022_UFNO;Wen2023_NestedFNO;Yan2021_RobustDLWorkflow;Zhang2021_LearningInversionFreeForecast;Zhong2019_PressureAnomaly
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,unknown,2,57,0.035,ESR_Meng2025_211;ESR_Um2024_104
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Cross-cutting and other,synthetic simulation,1,1,1.000,ESR_Kanakaki2025_045
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",field-facing monitoring or synthetic monitoring,1,9,0.111,ESR_Tang2022_226
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",field-inspired simulation,1,9,0.111,ESR_Park2025_223
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",synthetic monitoring,1,9,0.111,Yin2022_XAILeakage
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",synthetic simulation,5,9,0.556,Baek2023_WellboreLeakage;ESR_Zheng2025_207;Lin2020_PressureLeakage;VoThanh2026_DigitalTwinGNN;Zhong2019_PressureAnomaly
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",unknown,1,9,0.111,ESR_Meng2025_211
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Monitoring, inversion and updating",field-facing monitoring or synthetic monitoring,1,13,0.077,ESR_Um2024_091
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Monitoring, inversion and updating",single field case,2,13,0.154,ESR_Wang2024_089;Leong2024_SeisCO2Net
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Monitoring, inversion and updating",synthetic monitoring,6,13,0.462,Crain2023_MonitoringHistory;ESR_Lozano2025_215;Jiang2024_DSIHistoryMatching;TARGET_JointInversion2023_2022JB025372;Tang2022_DLDataAssimilationForecasting;Wang2025_4DHistoryMatching
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Monitoring, inversion and updating",synthetic simulation,3,13,0.231,Han2024_HierarchicalMCMC;Seabra2024_AIEnhancedDA;Teng2024_LikelihoodFreeDA
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Monitoring, inversion and updating",unknown,1,13,0.077,ESR_Um2024_104
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Operation and control,field-derived case study,1,7,0.143,ESR_Vishal2025_213
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Operation and control,field-inspired simulation,2,7,0.286,ESR_Chan2024_124;TARGET_DRLGeoRisk2026_214483
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Operation and control,synthetic simulation,4,7,0.571,Diplas2026_DOEInjection;ESR_Chen2024_119;ESR_Wu2025_042;Lu2022_BayesianOptimization
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Screening and characterization,GIS layers and geological screening criteria,1,4,0.250,Lu2025_GISMLSite
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Screening and characterization,field-derived database,1,4,0.250,Arafath2025_MalayBasinML
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Screening and characterization,field-derived geospatial database,1,4,0.250,Nassabeh2024_OffshoreSite
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Screening and characterization,field-derived reservoir database,1,4,0.250,Attanasi2025_ResourceML
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Storage dynamics and surrogates,experimental/literature database,1,22,0.045,ESR_RefNone_173
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Storage dynamics and surrogates,field-inspired simulation,3,22,0.136,ESR_Nunez2023_166;ESR_Zhang2025_115;Witte2023_WNO
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Storage dynamics and surrogates,reduced-physics simulation / analytical regimes,1,22,0.045,ESR_Zhang2025_178
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Storage dynamics and surrogates,synthetic simulation,17,22,0.773,ESR_Falola2024_123;ESR_Hassani2024_118;ESR_Kadeethum2024_128;ESR_Liu2025_121;ESR_Pawar2023_168;ESR_Tang2024_135;ESR_Tariq2023_174;ESR_Zhou2026_127;Mo2018_EncoderDecoderUQ;Shokouhi2021_PhysicsInformedSite;Tang2024_GNNFaulted;Wen2021_CCSNet;Wen2021_PlumeDNN;Wen2022_UFNO;Wen2023_NestedFNO;Yan2021_RobustDLWorkflow;Zhang2021_LearningInversionFreeForecast
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Unmapped applications,synthetic monitoring,1,1,1.000,Gahlot2025_DigitalShadow
