"query_file","source","year","title","doi","url","pdf_url"
"search_02_monitoring_mrv_2026.json","crossref","2023","History Matching for Geological Carbon Storage Using Data-Space Inversion with Spatio-Temporal Data Parameterization","10.2139/ssrn.4611721","https://doi.org/10.2139/ssrn.4611721",""
"search_01_storage_dynamics_2026.json","crossref","2023","Transfer Learning for Geological Carbon Storage Forecasting Using Neural Operator","10.2139/ssrn.4668275","https://doi.org/10.2139/ssrn.4668275",""
"search_01_storage_dynamics_2026.json","crossref","2023","Transfer Learning for Geological Carbon Storage Forecasting Using Neural Operator","10.2139/ssrn.4671241","https://doi.org/10.2139/ssrn.4671241",""
"search_01_storage_dynamics_2026.json","crossref","2024","Transfer Learning with Fourier Neural Operator for Geological Carbon Storage Forecasting in Diverse Geological and Engineering Scenarios","10.2139/ssrn.4933573","https://doi.org/10.2139/ssrn.4933573",""
"search_02_monitoring_mrv_2026.json","crossref","2025","From a Single Geological Interpretation to History Matching: A SinGAN-ES-MDA Framework for CO2 Storage in Channelized Aquifers","10.2139/ssrn.5676606","https://doi.org/10.2139/ssrn.5676606",""
"search_01_storage_dynamics_2026.json","crossref","2026","Multimodal Auto-regressive Transformer Surrogate for Modeling Variable Operations and Quantifying Uncertainty in Geological Carbon Storage","10.2139/ssrn.7171103","https://doi.org/10.2139/ssrn.7171103",""
"search_03_leakage_geomechanics_2026.json","openalex","2026","A mini review on “from decades to centuries”: temporal gaps in CCUS governance","10.3389/feart.2026.1823440","https://doi.org/10.3389/feart.2026.1823440","https://public-pages-files-2025.frontiersin.org/journals/earth-science/articles/10.3389/feart.2026.1823440/pdf"
"search_03_leakage_geomechanics_2026.json","openalex","2026","Understanding Tight Naturally Fractured Carbonate Reservoir Architecture for Subsurface Gas Storage","10.3390/app16052278","https://doi.org/10.3390/app16052278","https://www.mdpi.com/2076-3417/16/5/2278/pdf?version=1772117503"
"search_01_storage_dynamics_2026.json","openalex","2026","A New Paradigm for Physics-Informed AI-Driven Reservoir Research: From Multiscale Characterization to Intelligent Seepage Simulation","10.3390/en19010270","https://doi.org/10.3390/en19010270","https://www.mdpi.com/1996-1073/19/1/270/pdf"
"search_03_leakage_geomechanics_2026.json","openalex","2026","A Fully Automated Design of Experiments-Based Method for Rapidly Screening Near-Optimal CO2 Injection Strategies","10.3390/en19051361","https://doi.org/10.3390/en19051361","https://www.mdpi.com/1996-1073/19/5/1361/pdf"
"search_02_monitoring_mrv_2026.json","crossref","2012","History-matching of CO2 Flow at Sleipner – New Insight based on Analyses of Temperature and Seismic Data","10.3997/2214-4609.20143811","https://doi.org/10.3997/2214-4609.20143811",""
"search_02_monitoring_mrv_2026.json","crossref","2008","Monitoring Sleipner CO2 Injection with Combined Surface Seismic and Gravity Data","10.3997/2214-4609.20146166","https://doi.org/10.3997/2214-4609.20146166",""
"search_02_monitoring_mrv_2026.json","crossref","2018","Chimneys And Channels: History Matching The Growing CO2 Plume At The Sleipner Storage Site","10.3997/2214-4609.201802978","https://doi.org/10.3997/2214-4609.201802978",""
"search_02_monitoring_mrv_2026.json","crossref","2025","Geophysical Characterization and MRV Strategy for In-Situ CO2 Mineralization at the CO2 Lock Sam Site, Canada","10.3997/2214-4609.202585022","https://doi.org/10.3997/2214-4609.202585022",""
"search_02_monitoring_mrv_2026.json","crossref","2026","Machine learning–driven advances in geophysical data assimilation","10.5194/egusphere-egu26-3932","https://doi.org/10.5194/egusphere-egu26-3932",""
"search_03_leakage_geomechanics_2026.json","crossref","2026","Machine-learning assisted assessment of CO₂ leakage through adjacent wells in geological carbon storage","10.5194/egusphere-egu26-4704","https://doi.org/10.5194/egusphere-egu26-4704",""
"search_03_leakage_geomechanics_2026.json","crossref","2025","Deep Reinforcement Learning Optimizing for Geological CO2 Storage Considering Geomechanical and Leakage Risks","10.56952/igs-2025-0143","https://doi.org/10.56952/igs-2025-0143","https://onepetro.org/armaigs/proceedings-pdf/doi/10.56952/IGS-2025-0143/5332678/arma-igs-2025-0143.pdf"
"search_03_leakage_geomechanics_2026.json","openalex","2022","5th International Workshop on Offshore Geologic CO₂ Storage","10.62849/2022-tr05","https://doi.org/10.62849/2022-tr05","https://ieaghg.org/publications/2022-TR05%205th%20International%20Workshop%20on%20Offshore%20Geologic%20CO2%20Storage.pdf"
