ESR_Liu2025_121,Physics-coupled machine learning toolset for geological carbon storage evaluation and performance analysis,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Nunez2023_166,Transfer learning for geological carbon storage forecasting using neural operator,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Pawar2023_168,Efficient Subsurface Carbon Storage Modeling with Fourier Neural Operator,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_RefNone_173,Toward Estimating CO2 Solubility in Pure Water and Brine Using Cascade Forward Neural Network and Generalized Regression Neural Network: Application to CO2 Dissolution Trapping in Saline Aquifers,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Tang2024_135,Multi-fidelity Fourier neural operator for fast modeling of large-scale geological carbon storage,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Tariq2023_174,Physics Informed Surrogate Model Development in Predicting Dynamic Temporal and Spatial Variations During CO2 Injection into Deep Saline Aquifers,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Zhang2025_115,A Dynamic and Constrained Machine Learning Framework for CO2 Saturation Prediction in Geological Carbon Storage Reservoirs,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Zhang2025_178,Physics-Informed Neural Networks for CO2 migration modeling in stratified saline aquifers: Applications in geological carbon sequestration,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Zhou2026_127,Multiresolution Fourier Neural Operator Framework: A Novel Approach for Hydro-Geochemical Coupling Modeling in CO2 Geological Storage,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Mo2018_EncoderDecoderUQ,Deep convolutional encoder-decoder networks for uncertainty quantification of dynamic multiphase flow in heterogeneous media,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Shokouhi2021_PhysicsInformedSite,Physics-informed deep learning for prediction of CO2 storage site response,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Tang2024_GNNFaulted,Learning CO2 plume migration in faulted reservoirs with graph neural networks,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Wen2021_CCSNet,CCSNet: a deep learning modeling suite for CO2 storage,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Wen2021_PlumeDNN,A deep learning approach to predicting CO2 plume migration in heterogeneous formations,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Wen2022_UFNO,U-FNO: An enhanced Fourier neural operator-based deep-learning model for multiphase flow,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Wen2023_NestedFNO,Real-time high-resolution CO2 geological storage prediction using nested Fourier neural operators,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Witte2023_WNO,Fast CO2 saturation simulations on large-scale geomodels with artificial intelligence-based Wavelet Neural Operators,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Yan2021_RobustDLWorkflow,A robust deep learning workflow to predict multiphase flow behavior during geological CO2 sequestration injection and post-injection periods,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Zhang2021_LearningInversionFreeForecast,Zhang2021_LearningInversionFreeForecast,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Crain2023_MonitoringHistory,An integrated framework for optimal monitoring and history matching in CO2 storage projects,P4_monitoring_mrv,"Monitoring, history matching, and MRV updating",Update subsurface state and uncertainty from monitoring data and preserve a reviewable chain from observation to decision.,"Monitoring, inversion and updating",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Lozano2025_215,Unified deep-learning workflow for uncertainty reduction in subsurface carbon storage modeling through data assimilation of seismic-inverted CO2 maps,P4_monitoring_mrv,"Monitoring, history matching, and MRV updating",Update subsurface state and uncertainty from monitoring data and preserve a reviewable chain from observation to decision.,"Monitoring, inversion and updating",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Um2024_091,Real-time deep-learning inversion of seismic full waveform data for CO2 saturation and uncertainty in geological carbon storage monitoring,P4_monitoring_mrv,"Monitoring, history matching, and MRV updating",Update subsurface state and uncertainty from monitoring data and preserve a reviewable chain from observation to decision.,"Monitoring, inversion and updating",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Um2024_104,Deep learning multiphysics network for imaging CO2 saturation and estimating uncertainty in geological carbon storage,P4_monitoring_mrv,"Monitoring, history matching, and MRV updating",Update subsurface state and uncertainty from monitoring data and preserve a reviewable chain from observation to decision.,"Monitoring, inversion and updating",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Wang2024_089,Machine learning and deep learning for mineralogy interpretation and CO2 saturation estimation in geological carbon Storage: A case study in the Illinois Basin,P4_monitoring_mrv,"Monitoring, history matching, and MRV updating",Update subsurface state and uncertainty from monitoring data and preserve a reviewable chain from observation to decision.,"Monitoring, inversion and updating",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Gahlot2025_DigitalShadow,An uncertainty-aware digital shadow for underground multimodal CO2 storage monitoring,P4_monitoring_mrv,"Monitoring, history matching, and MRV updating",Update subsurface state and uncertainty from monitoring data and preserve a reviewable chain from observation to decision.,Unmapped applications,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Han2024_HierarchicalMCMC,Surrogate model for geological CO2 storage and its use in hierarchical MCMC history matching,P4_monitoring_mrv,"Monitoring, history matching, and MRV updating",Update subsurface state and uncertainty from monitoring data and preserve a reviewable chain from observation to decision.,"Monitoring, inversion and updating",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Jiang2024_DSIHistoryMatching,History matching for geological carbon storage using data-space inversion with spatio-temporal data parameterization,P4_monitoring_mrv,"Monitoring, history matching, and MRV updating",Update subsurface state and uncertainty from monitoring data and preserve a reviewable chain from observation to decision.,"Monitoring, inversion and updating",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Leong2024_SeisCO2Net,Time-lapse seismic inversion for CO2 saturation with SeisCO2Net: An application to Frio-II site,P4_monitoring_mrv,"Monitoring, history matching, and MRV updating",Update subsurface state and uncertainty from monitoring data and preserve a reviewable chain from observation to decision.,"Monitoring, inversion and updating",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Seabra2024_AIEnhancedDA,AI enhanced data assimilation and uncertainty quantification applied to Geological Carbon Storage,P4_monitoring_mrv,"Monitoring, history matching, and MRV updating",Update subsurface state and uncertainty from monitoring data and preserve a reviewable chain from observation to decision.,"Monitoring, inversion and updating",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
TARGET_JointInversion2023_2022JB025372,Joint Inversion of Geophysical Data for Geologic Carbon Sequestration Monitoring: A Differentiable Physics-Informed Neural Network Model,P4_monitoring_mrv,"Monitoring, history matching, and MRV updating",Update subsurface state and uncertainty from monitoring data and preserve a reviewable chain from observation to decision.,"Monitoring, inversion and updating",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Tang2022_DLDataAssimilationForecasting,A deep learning-accelerated data assimilation and forecasting workflow for commercial-scale geologic carbon storage,P4_monitoring_mrv,"Monitoring, history matching, and MRV updating",Update subsurface state and uncertainty from monitoring data and preserve a reviewable chain from observation to decision.,"Monitoring, inversion and updating",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Teng2024_LikelihoodFreeDA,Likelihood-free inference and hierarchical data assimilation for geological carbon storage,P4_monitoring_mrv,"Monitoring, history matching, and MRV updating",Update subsurface state and uncertainty from monitoring data and preserve a reviewable chain from observation to decision.,"Monitoring, inversion and updating",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Wang2025_4DHistoryMatching,Deep learning framework for history matching CO2 storage with 4D seismic and monitoring well data,P4_monitoring_mrv,"Monitoring, history matching, and MRV updating",Update subsurface state and uncertainty from monitoring data and preserve a reviewable chain from observation to decision.,"Monitoring, inversion and updating",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Lin2020_PressureLeakage,Normal or abnormal? Machine learning for leakage detection in carbon sequestration projects using pressure field data,P5_leakage_response,Leakage detection and response,"Detect anomalous signals, estimate decision-relevant confidence, and trigger a documented investigation or response pathway.","Leakage, wellbore and containment risk",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Yin2022_XAILeakage,De-risking geological carbon storage from high resolution time-lapse seismic to explainable leakage detection,P5_leakage_response,Leakage detection and response,"Detect anomalous signals, estimate decision-relevant confidence, and trigger a documented investigation or response pathway.","Leakage, wellbore and containment risk",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Zhong2019_PressureAnomaly,A deep learning approach to anomaly detection in geological carbon sequestration sites using pressure measurements,P5_leakage_response,Leakage detection and response,"Detect anomalous signals, estimate decision-relevant confidence, and trigger a documented investigation or response pathway.","Leakage, wellbore and containment risk",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Baek2023_WellboreLeakage,Enabling site-specific well leakage risk estimation during geologic carbon sequestration using a modular deep-learning-based wellbore leakage model,P6_wellbore_integrity,Wellbore-integrity risk screening,"Screen existing or planned wells for leakage-pathway risk and prioritize inspection, remediation, or monitoring.","Leakage, wellbore and containment risk",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Meng2025_211,Multiobjective optimization of CO2 injection under geomechanical risk in high water cut oil reservoirs using artificial intelligence approaches,P7_geomechanics_seal,Geomechanical and seal-risk assessment,"Assess how injection-induced pressure and stress may affect faults, caprock, deformation, seismicity, and containment.","Leakage, wellbore and containment risk",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Park2025_223,Deep learning-assisted THM-integrated InSAR modeling for CO2 storage characterization and surface deformation forecasting,P7_geomechanics_seal,Geomechanical and seal-risk assessment,"Assess how injection-induced pressure and stress may affect faults, caprock, deformation, seismicity, and containment.","Leakage, wellbore and containment risk",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Tang2022_226,Deep learning-accelerated 3D carbon storage reservoir pressure forecasting based on data assimilation using surface displacement from InSAR,P7_geomechanics_seal,Geomechanical and seal-risk assessment,"Assess how injection-induced pressure and stress may affect faults, caprock, deformation, seismicity, and containment.","Leakage, wellbore and containment risk",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Zheng2025_207,Deep Learning-Assisted Multiobjective Optimization of Geological CO2 Storage Performance under Geomechanical Risks,P7_geomechanics_seal,Geomechanical and seal-risk assessment,"Assess how injection-induced pressure and stress may affect faults, caprock, deformation, seismicity, and containment.","Leakage, wellbore and containment risk",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
VoThanh2026_DigitalTwinGNN,Toward Real-Time Digital Twins for CO2 Storage: Graph Neural Network Ensembles for Multi-physics Forecasting and Risk Quantification,P7_geomechanics_seal,Geomechanical and seal-risk assessment,"Assess how injection-induced pressure and stress may affect faults, caprock, deformation, seismicity, and containment.","Leakage, wellbore and containment risk",Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
