paper_id,title,legacy_peer_review_status,normalized_publication_status,normalization_basis,included_in_strict_journal_only_sensitivity,doi_or_url,venue,crossref_type
ESR_Chen2024_119,Optimization of pressure management strategies for geological CO2 storage using surrogate model-based reinforcement learning,preprint_or_repository_version,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.ijggc.2024.104262,International Journal of Greenhouse Gas Control,journal-article
Han2024_HierarchicalMCMC,Surrogate model for geological CO2 storage and its use in hierarchical MCMC history matching,preprint_or_repository_version,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.advwatres.2024.104678,Advances in Water Resources,journal-article
Tang2024_GNNFaulted,Learning CO2 plume migration in faulted reservoirs with graph neural networks,preprint_or_repository_version,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.cageo.2024.105711,Computers & Geosciences,journal-article
Jiang2024_DSIHistoryMatching,History matching for geological carbon storage using data-space inversion with spatio-temporal data parameterization,preprint_or_repository_version,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.ijggc.2024.104124,International Journal of Greenhouse Gas Control,journal-article
Lin2020_PressureLeakage,Normal or abnormal? Machine learning for the leakage detection in carbon sequestration projects using pressure field data,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref DOI record and publisher metadata,yes,10.1016/j.ijggc.2020.103189,International Journal of Greenhouse Gas Control,journal-article
Leong2024_SeisCO2Net,Time-lapse seismic inversion for CO2 saturation with SeisCO2Net: An application to Frio-II site,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.ijggc.2024.104058,International Journal of Greenhouse Gas Control,journal-article
Mo2018_EncoderDecoderUQ,Deep convolutional encoder-decoder networks for uncertainty quantification of dynamic multiphase flow in heterogeneous media,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1029/2018wr023528,Water Resources Research,journal-article
Wen2023_NestedFNO,Real-time high-resolution CO2 geological storage prediction using nested Fourier neural operators,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1039/d2ee04204e,Energy & Environmental Science,journal-article
Zhong2019_PressureAnomaly,A deep learning approach to anomaly detection in geological carbon sequestration sites using pressure measurements,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.jhydrol.2019.04.015,Journal of Hydrology,journal-article
Wen2021_PlumeDNN,Towards a predictor for CO2 plume migration using deep neural networks,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref DOI record and verified article identity,yes,10.1016/j.ijggc.2020.103223,International Journal of Greenhouse Gas Control,journal-article
Zhang2021_LearningInversionFreeForecast,Zhang2021_LearningInversionFreeForecast,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.3389/fenrg.2021.752185,Frontiers in Energy Research,journal-article
Yan2021_RobustDLWorkflow,A robust deep learning workflow to predict multiphase flow behavior during geological CO2 sequestration injection and post-injection periods,journal_peer_reviewed,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.jhydrol.2022.127542,Journal of Hydrology,journal-article
Attanasi2025_ResourceML,Machine learning provides reconnaissance-type estimates of carbon dioxide storage resources in oil and gas reservoirs,peer_reviewed_or_repository_full_text,peer_reviewed_journal,Crossref DOI record and publisher metadata,yes,10.3389/fenvs.2025.1562087,Frontiers in Environmental Science,journal-article
Baek2023_WellboreLeakage,Enabling site-specific well leakage risk estimation during geologic carbon sequestration using a modular deep-learning-based wellbore leakage model,peer_reviewed_or_repository_full_text,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.ijggc.2023.103903,International Journal of Greenhouse Gas Control,journal-article
ESR_Liu2025_121,Physics-coupled machine learning toolset for geological carbon storage evaluation and performance analysis,journal_peer_reviewed,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.ijggc.2025.104538,International Journal of Greenhouse Gas Control,journal-article
Lu2022_BayesianOptimization,Bayesian Optimization for Field-Scale Geological Carbon Storage,peer_reviewed_or_repository_full_text,peer_reviewed_journal,Verified against the full-text first page; the legacy Crossref match referred to an unrelated Engineering article.,yes,10.1016/j.eng.2022.06.011,Engineering,journal-article
ESR_Chan2024_124,Accelerated Co2 Storage Optimization Using Multi-Resolution Fourier Neural Operator at the Illinois Basin Decatur Project (Ibdp),peer_reviewed_or_repository_full_text,peer_reviewed_journal,Crossref type=journal-article.,yes,10.2139/ssrn.5012232,SSRN Electronic Journal,journal-article
ESR_Zheng2025_207,Deep Learning-Assisted Multiobjective Optimization of Geological CO2 Storage Performance under Geomechanical Risks,peer_reviewed_or_repository_full_text,peer_reviewed_journal,Crossref type=journal-article.,yes,10.2118/220850-pa,SPE Journal,journal-article
ESR_Kanakaki2025_045,Application of an Automated Machine Learning-Driven Grid Block Classification Framework to a Realistic Deep Saline Aquifer Model for Accelerating Numerical Simulations of CO2 Geological Storage,peer_reviewed_or_repository_full_text,peer_reviewed_journal,Crossref type=journal-article.,yes,10.3390/pr13082658,Processes,journal-article
Yin2022_XAILeakage,De-risking geological carbon storage from high resolution time-lapse seismic to explainable leakage detection,peer_reviewed_or_repository_full_text,unresolved_publication_status,Publication status cannot be normalized from current verified metadata alone.,no,https://slim.gatech.edu/Publications/Public/Journals/TheLeadingEdge/2022/yin2022TLEdgc/paper.html,The Leading Edge,not resolved
Crain2023_MonitoringHistory,An integrated framework for optimal monitoring and history matching in CO2 storage projects,peer_reviewed_or_repository_full_text,peer_reviewed_journal,Crossref DOI record and final volume metadata,yes,10.1007/s10596-023-10216-3,Computational Geosciences,journal-article
ESR_RefNone_173,Toward Estimating CO2 Solubility in Pure Water and Brine Using Cascade Forward Neural Network and Generalized Regression Neural Network: Application to CO2 Dissolution Trapping in Saline Aquifers,peer_reviewed_or_repository_full_text,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1021/acsomega.3c07962,ACS Omega,journal-article
Nassabeh2024_OffshoreSite,Sub-surface geospatial intelligence in CCUS: A machine learning approach for offshore storage site selection,peer_reviewed_or_repository_full_text,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.energy.2024.132086,Energy,journal-article
ESR_Kadeethum2024_128,An improved neural operator framework for large-scale CO2 storage operations,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.geoen.2024.213007,Geoenergy Science and Engineering,journal-article
ESR_Falola2024_123,Application of Neural Operator Technique for Rapid Forecast of CO2 Pressure and Saturation Distribution,conference_or_abstract,conference_or_proceedings,Crossref type=proceedings-article.,no,10.4043/35230-ms,Offshore Technology Conference,proceedings-article
Witte2023_WNO,Fast CO2 saturation simulations on large-scale geomodels with artificial intelligence-based Wavelet Neural Operators,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.ijggc.2023.103880,International Journal of Greenhouse Gas Control,journal-article
ESR_Hassani2024_118,Machine Learning-Based CO2 Saturation Tracking in Saline Aquifers Using Bottomhole Pressure for Carbon Capture and Storage CCS Projects,conference_or_abstract,conference_or_proceedings,Crossref type=proceedings-article.,no,10.2118/218445-ms,SPE Norway Subsurface Conference,proceedings-article
ESR_Zhang2025_115,A Dynamic and Constrained Machine Learning Framework for CO2 Saturation Prediction in Geological Carbon Storage Reservoirs,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1029/2025jh000772,Journal of Geophysical Research: Machine Learning and Computation,journal-article
ESR_Pawar2023_168,Efficient Subsurface Carbon Storage Modeling with Fourier Neural Operator,conference_or_abstract,conference_or_proceedings,Crossref type=proceedings-article.,no,10.1190/image2023-3916936.1,Third International Meeting for Applied Geoscience & Energy Expanded Abstracts,proceedings-article
ESR_Zhou2026_127,Multiresolution Fourier Neural Operator Framework: A Novel Approach for Hydro-Geochemical Coupling Modeling in CO2 Geological Storage,conference_or_abstract,conference_or_proceedings,Crossref type=proceedings-article.,no,10.2523/iptc-25187-ms,IPTC Summit on AI for the Energy Industry,proceedings-article
ESR_Tariq2023_174,Physics Informed Surrogate Model Development in Predicting Dynamic Temporal and Spatial Variations During CO2 Injection into Deep Saline Aquifers,conference_or_abstract,conference_or_proceedings,Crossref type=proceedings-article.,no,10.2118/212693-ms,SPE Reservoir Characterisation and Simulation Conference and Exhibition,proceedings-article
ESR_Zhang2025_178,Physics-Informed Neural Networks for CO2 migration modeling in stratified saline aquifers: Applications in geological carbon sequestration,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.geoen.2025.213689,Geoenergy Science and Engineering,journal-article
ESR_Nunez2023_166,Transfer learning for geological carbon storage forecasting using neural operator,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.advwatres.2025.104948,Advances in Water Resources,journal-article
ESR_Lozano2025_215,Unified deep-learning workflow for uncertainty reduction in subsurface carbon storage modeling through data assimilation of seismic-inverted CO2 maps,journal_peer_reviewed,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.ijggc.2026.104582,International Journal of Greenhouse Gas Control,journal-article
ESR_Vishal2025_213,"AI-Driven Reservoir Characterization for CO2 Storage: Integrating CNNs for Seismic Interpretation, Machine Learning, and Statistical Validation for Uncertainty Quantification, Risk Mitigation, and Storage Optimization in the Cauvery Basin",conference_or_abstract,conference_or_proceedings,Crossref type=proceedings-article.,no,10.2118/228830-stu,SPE Annual Technical Conference and Exhibition,proceedings-article
ESR_Wu2025_042,A Lightweight Machine Learning-Driven Framework for Prediction and Multi-Objective Optimization of CO2 Geological Storage,preprint_or_repository_version,preprint_or_repository_only,Crossref type=posted-content.,no,10.2139/ssrn.5342578,SSRN,posted-content
ESR_Park2025_223,Deep learning-assisted THM-integrated InSAR modeling for CO2 storage characterization and surface deformation forecasting,journal_peer_reviewed,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.ijggc.2025.104461,International Journal of Greenhouse Gas Control,journal-article
Shokouhi2021_PhysicsInformedSite,Physics-informed deep learning for prediction of CO2 storage site response,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.jconhyd.2021.103835,Journal of Contaminant Hydrology,journal-article
Seabra2024_AIEnhancedDA,AI enhanced data assimilation and uncertainty quantification applied to Geological Carbon Storage,journal_peer_reviewed_with_repository_preprint,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.ijggc.2024.104190,International Journal of Greenhouse Gas Control,journal-article
Gahlot2025_DigitalShadow,An uncertainty-aware digital shadow for underground multimodal CO2 storage monitoring,journal_peer_reviewed,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1093/gji/ggaf176,Geophysical Journal International,journal-article
Tang2022_DLDataAssimilationForecasting,A deep learning-accelerated data assimilation and forecasting workflow for commercial-scale geologic carbon storage,journal_peer_reviewed,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.ijggc.2021.103488,International Journal of Greenhouse Gas Control,journal-article
Teng2024_LikelihoodFreeDA,Likelihood-free inference and hierarchical data assimilation for geological carbon storage,journal_peer_reviewed,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.advwatres.2025.104961,Advances in Water Resources,journal-article
VoThanh2026_DigitalTwinGNN,Toward Real-Time Digital Twins for CO2 Storage: Graph Neural Network Ensembles for Multi-physics Forecasting and Risk Quantification,journal_peer_reviewed,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1007/s00603-026-05545-5,Rock Mechanics and Rock Engineering,journal-article
Diplas2026_DOEInjection,A Fully Automated Design of Experiments-Based Method for Rapidly Screening Near-Optimal CO2 Injection Strategies,journal_peer_reviewed,peer_reviewed_journal,Crossref type=journal-article.,yes,10.3390/en19051361,Energies,journal-article
Arafath2025_MalayBasinML,Permeability Prediction and Potential Site Assessment for CO2 Storage from Core Data and Well-Log Data in Malay Basin Using Advanced Machine Learning Algorithms,journal_peer_reviewed,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1021/acsomega.4c07242,ACS Omega,journal-article
TARGET_JointInversion2023_2022JB025372,Joint Inversion of Geophysical Data for Geologic Carbon Sequestration Monitoring: A Differentiable Physics-Informed Neural Network Model,journal_peer_reviewed,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1029/2022jb025372,Journal of Geophysical Research: Solid Earth,journal-article
TARGET_DRLGeoRisk2026_214483,Deep reinforcement learning optimizing for geological CO2 storage considering geomechanical and leakage risks,journal_peer_reviewed,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.geoen.2026.214483,Geoenergy Science and Engineering,journal-article
