figure_id,visual_element,aggregation_rule,source_file,source_paper_ids,source_paper_count,unknown_count,notes
Fig03,field_evidence_score,score distribution across N=57; unscored retained separately,evidence/DECISION_EVIDENCE_PROFILES.csv,Arafath2025_MalayBasinML;Attanasi2025_ResourceML;Baek2023_WellboreLeakage;Crain2023_MonitoringHistory;Diplas2026_DOEInjection;ESR_Chan2024_124;ESR_Chen2024_119;ESR_Falola2024_123;ESR_Hassani2024_118;ESR_Kadeethum2024_128;ESR_Kanakaki2025_045;ESR_Liu2025_121;ESR_Lozano2025_215;ESR_Meng2025_211;ESR_Nunez2023_166;ESR_Park2025_223;ESR_Pawar2023_168;ESR_RefNone_173;ESR_Tang2022_226;ESR_Tang2024_135;ESR_Tariq2023_174;ESR_Um2024_091;ESR_Um2024_104;ESR_Vishal2025_213;ESR_Wang2024_089;ESR_Wu2025_042;ESR_Zhang2025_115;ESR_Zhang2025_178;ESR_Zheng2025_207;ESR_Zhou2026_127;Gahlot2025_DigitalShadow;Han2024_HierarchicalMCMC;Jiang2024_DSIHistoryMatching;Leong2024_SeisCO2Net;Lin2020_PressureLeakage;Lu2022_BayesianOptimization;Lu2025_GISMLSite;Mo2018_EncoderDecoderUQ;Nassabeh2024_OffshoreSite;Seabra2024_AIEnhancedDA;Shokouhi2021_PhysicsInformedSite;TARGET_DRLGeoRisk2026_214483;TARGET_JointInversion2023_2022JB025372;Tang2022_DLDataAssimilationForecasting;Tang2024_GNNFaulted;Teng2024_LikelihoodFreeDA;VoThanh2026_DigitalTwinGNN;Wang2025_4DHistoryMatching;Wen2021_CCSNet;Wen2021_PlumeDNN;Wen2022_UFNO;Wen2023_NestedFNO;Witte2023_WNO;Yan2021_RobustDLWorkflow;Yin2022_XAILeakage;Zhang2021_LearningInversionFreeForecast;Zhong2019_PressureAnomaly,57,2,Unknown/not reported values are not included in any score bin.
Fig03,physical_consistency_score,score distribution across N=57; unscored retained separately,evidence/DECISION_EVIDENCE_PROFILES.csv,Arafath2025_MalayBasinML;Attanasi2025_ResourceML;Baek2023_WellboreLeakage;Crain2023_MonitoringHistory;Diplas2026_DOEInjection;ESR_Chan2024_124;ESR_Chen2024_119;ESR_Falola2024_123;ESR_Hassani2024_118;ESR_Kadeethum2024_128;ESR_Kanakaki2025_045;ESR_Liu2025_121;ESR_Lozano2025_215;ESR_Meng2025_211;ESR_Nunez2023_166;ESR_Park2025_223;ESR_Pawar2023_168;ESR_RefNone_173;ESR_Tang2022_226;ESR_Tang2024_135;ESR_Tariq2023_174;ESR_Um2024_091;ESR_Um2024_104;ESR_Vishal2025_213;ESR_Wang2024_089;ESR_Wu2025_042;ESR_Zhang2025_115;ESR_Zhang2025_178;ESR_Zheng2025_207;ESR_Zhou2026_127;Gahlot2025_DigitalShadow;Han2024_HierarchicalMCMC;Jiang2024_DSIHistoryMatching;Leong2024_SeisCO2Net;Lin2020_PressureLeakage;Lu2022_BayesianOptimization;Lu2025_GISMLSite;Mo2018_EncoderDecoderUQ;Nassabeh2024_OffshoreSite;Seabra2024_AIEnhancedDA;Shokouhi2021_PhysicsInformedSite;TARGET_DRLGeoRisk2026_214483;TARGET_JointInversion2023_2022JB025372;Tang2022_DLDataAssimilationForecasting;Tang2024_GNNFaulted;Teng2024_LikelihoodFreeDA;VoThanh2026_DigitalTwinGNN;Wang2025_4DHistoryMatching;Wen2021_CCSNet;Wen2021_PlumeDNN;Wen2022_UFNO;Wen2023_NestedFNO;Witte2023_WNO;Yan2021_RobustDLWorkflow;Yin2022_XAILeakage;Zhang2021_LearningInversionFreeForecast;Zhong2019_PressureAnomaly,57,14,Unknown/not reported values are not included in any score bin.
Fig03,uncertainty_score,score distribution across N=57; unscored retained separately,evidence/DECISION_EVIDENCE_PROFILES.csv,Arafath2025_MalayBasinML;Attanasi2025_ResourceML;Baek2023_WellboreLeakage;Crain2023_MonitoringHistory;Diplas2026_DOEInjection;ESR_Chan2024_124;ESR_Chen2024_119;ESR_Falola2024_123;ESR_Hassani2024_118;ESR_Kadeethum2024_128;ESR_Kanakaki2025_045;ESR_Liu2025_121;ESR_Lozano2025_215;ESR_Meng2025_211;ESR_Nunez2023_166;ESR_Park2025_223;ESR_Pawar2023_168;ESR_RefNone_173;ESR_Tang2022_226;ESR_Tang2024_135;ESR_Tariq2023_174;ESR_Um2024_091;ESR_Um2024_104;ESR_Vishal2025_213;ESR_Wang2024_089;ESR_Wu2025_042;ESR_Zhang2025_115;ESR_Zhang2025_178;ESR_Zheng2025_207;ESR_Zhou2026_127;Gahlot2025_DigitalShadow;Han2024_HierarchicalMCMC;Jiang2024_DSIHistoryMatching;Leong2024_SeisCO2Net;Lin2020_PressureLeakage;Lu2022_BayesianOptimization;Lu2025_GISMLSite;Mo2018_EncoderDecoderUQ;Nassabeh2024_OffshoreSite;Seabra2024_AIEnhancedDA;Shokouhi2021_PhysicsInformedSite;TARGET_DRLGeoRisk2026_214483;TARGET_JointInversion2023_2022JB025372;Tang2022_DLDataAssimilationForecasting;Tang2024_GNNFaulted;Teng2024_LikelihoodFreeDA;VoThanh2026_DigitalTwinGNN;Wang2025_4DHistoryMatching;Wen2021_CCSNet;Wen2021_PlumeDNN;Wen2022_UFNO;Wen2023_NestedFNO;Witte2023_WNO;Yan2021_RobustDLWorkflow;Yin2022_XAILeakage;Zhang2021_LearningInversionFreeForecast;Zhong2019_PressureAnomaly,57,30,Unknown/not reported values are not included in any score bin.
Fig03,transferability_score,score distribution across N=57; unscored retained separately,evidence/DECISION_EVIDENCE_PROFILES.csv,Arafath2025_MalayBasinML;Attanasi2025_ResourceML;Baek2023_WellboreLeakage;Crain2023_MonitoringHistory;Diplas2026_DOEInjection;ESR_Chan2024_124;ESR_Chen2024_119;ESR_Falola2024_123;ESR_Hassani2024_118;ESR_Kadeethum2024_128;ESR_Kanakaki2025_045;ESR_Liu2025_121;ESR_Lozano2025_215;ESR_Meng2025_211;ESR_Nunez2023_166;ESR_Park2025_223;ESR_Pawar2023_168;ESR_RefNone_173;ESR_Tang2022_226;ESR_Tang2024_135;ESR_Tariq2023_174;ESR_Um2024_091;ESR_Um2024_104;ESR_Vishal2025_213;ESR_Wang2024_089;ESR_Wu2025_042;ESR_Zhang2025_115;ESR_Zhang2025_178;ESR_Zheng2025_207;ESR_Zhou2026_127;Gahlot2025_DigitalShadow;Han2024_HierarchicalMCMC;Jiang2024_DSIHistoryMatching;Leong2024_SeisCO2Net;Lin2020_PressureLeakage;Lu2022_BayesianOptimization;Lu2025_GISMLSite;Mo2018_EncoderDecoderUQ;Nassabeh2024_OffshoreSite;Seabra2024_AIEnhancedDA;Shokouhi2021_PhysicsInformedSite;TARGET_DRLGeoRisk2026_214483;TARGET_JointInversion2023_2022JB025372;Tang2022_DLDataAssimilationForecasting;Tang2024_GNNFaulted;Teng2024_LikelihoodFreeDA;VoThanh2026_DigitalTwinGNN;Wang2025_4DHistoryMatching;Wen2021_CCSNet;Wen2021_PlumeDNN;Wen2022_UFNO;Wen2023_NestedFNO;Witte2023_WNO;Yan2021_RobustDLWorkflow;Yin2022_XAILeakage;Zhang2021_LearningInversionFreeForecast;Zhong2019_PressureAnomaly,57,34,Unknown/not reported values are not included in any score bin.
Fig03,decision_readiness_score,score distribution across N=57; unscored retained separately,evidence/DECISION_EVIDENCE_PROFILES.csv,Arafath2025_MalayBasinML;Attanasi2025_ResourceML;Baek2023_WellboreLeakage;Crain2023_MonitoringHistory;Diplas2026_DOEInjection;ESR_Chan2024_124;ESR_Chen2024_119;ESR_Falola2024_123;ESR_Hassani2024_118;ESR_Kadeethum2024_128;ESR_Kanakaki2025_045;ESR_Liu2025_121;ESR_Lozano2025_215;ESR_Meng2025_211;ESR_Nunez2023_166;ESR_Park2025_223;ESR_Pawar2023_168;ESR_RefNone_173;ESR_Tang2022_226;ESR_Tang2024_135;ESR_Tariq2023_174;ESR_Um2024_091;ESR_Um2024_104;ESR_Vishal2025_213;ESR_Wang2024_089;ESR_Wu2025_042;ESR_Zhang2025_115;ESR_Zhang2025_178;ESR_Zheng2025_207;ESR_Zhou2026_127;Gahlot2025_DigitalShadow;Han2024_HierarchicalMCMC;Jiang2024_DSIHistoryMatching;Leong2024_SeisCO2Net;Lin2020_PressureLeakage;Lu2022_BayesianOptimization;Lu2025_GISMLSite;Mo2018_EncoderDecoderUQ;Nassabeh2024_OffshoreSite;Seabra2024_AIEnhancedDA;Shokouhi2021_PhysicsInformedSite;TARGET_DRLGeoRisk2026_214483;TARGET_JointInversion2023_2022JB025372;Tang2022_DLDataAssimilationForecasting;Tang2024_GNNFaulted;Teng2024_LikelihoodFreeDA;VoThanh2026_DigitalTwinGNN;Wang2025_4DHistoryMatching;Wen2021_CCSNet;Wen2021_PlumeDNN;Wen2022_UFNO;Wen2023_NestedFNO;Witte2023_WNO;Yan2021_RobustDLWorkflow;Yin2022_XAILeakage;Zhang2021_LearningInversionFreeForecast;Zhong2019_PressureAnomaly,57,3,Unknown/not reported values are not included in any score bin.
Fig04,Storage dynamics and surrogates | direct_field_validation,positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,,0,22,Cell annotation is positive/total; NR reports not-reported count.
Fig04,Storage dynamics and surrogates | controlled_release_ml_validation,positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,,0,22,Cell annotation is positive/total; NR reports not-reported count.
Fig04,Storage dynamics and surrogates | explicit_ood_testing,positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,ESR_Nunez2023_166;ESR_RefNone_173;ESR_Zhang2025_115;Mo2018_EncoderDecoderUQ;Tang2024_GNNFaulted;Wen2021_PlumeDNN;Wen2023_NestedFNO;Yan2021_RobustDLWorkflow;Zhang2021_LearningInversionFreeForecast,9,13,Cell annotation is positive/total; NR reports not-reported count.
Fig04,Storage dynamics and surrogates | explicit_cross_site_testing,positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,,0,22,Cell annotation is positive/total; NR reports not-reported count.
Fig04,Storage dynamics and surrogates | uncertainty_calibration_or_posterior_check,positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,Zhang2021_LearningInversionFreeForecast,1,21,Cell annotation is positive/total; NR reports not-reported count.
Fig04,Storage dynamics and surrogates | surrogate_error_propagation,positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,,0,22,Cell annotation is positive/total; NR reports not-reported count.
Fig04,Storage dynamics and surrogates | any_physical_diagnostic_checked,positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,ESR_Tang2024_135;Mo2018_EncoderDecoderUQ;Tang2024_GNNFaulted;Wen2021_CCSNet;Wen2021_PlumeDNN;Wen2022_UFNO;Wen2023_NestedFNO;Yan2021_RobustDLWorkflow,8,10,Cell annotation is positive/total; NR reports not-reported count.
Fig04,"Monitoring, inversion and updating | direct_field_validation",positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,ESR_Wang2024_089;Leong2024_SeisCO2Net,2,10,Cell annotation is positive/total; NR reports not-reported count.
Fig04,"Monitoring, inversion and updating | controlled_release_ml_validation",positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,Leong2024_SeisCO2Net,1,11,Cell annotation is positive/total; NR reports not-reported count.
Fig04,"Monitoring, inversion and updating | explicit_ood_testing",positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,Han2024_HierarchicalMCMC;Jiang2024_DSIHistoryMatching;Leong2024_SeisCO2Net;Wang2025_4DHistoryMatching,4,8,Cell annotation is positive/total; NR reports not-reported count.
Fig04,"Monitoring, inversion and updating | explicit_cross_site_testing",positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,,0,12,Cell annotation is positive/total; NR reports not-reported count.
Fig04,"Monitoring, inversion and updating | uncertainty_calibration_or_posterior_check",positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,ESR_Um2024_091;Han2024_HierarchicalMCMC;Wang2025_4DHistoryMatching,3,10,Cell annotation is positive/total; NR reports not-reported count.
Fig04,"Monitoring, inversion and updating | surrogate_error_propagation",positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,Han2024_HierarchicalMCMC;Jiang2024_DSIHistoryMatching;Wang2025_4DHistoryMatching,3,9,Cell annotation is positive/total; NR reports not-reported count.
Fig04,"Monitoring, inversion and updating | any_physical_diagnostic_checked",positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,Crain2023_MonitoringHistory;ESR_Um2024_091;Han2024_HierarchicalMCMC;Jiang2024_DSIHistoryMatching;Leong2024_SeisCO2Net,5,2,Cell annotation is positive/total; NR reports not-reported count.
Fig04,"Leakage, wellbore and containment risk | direct_field_validation",positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,,0,8,Cell annotation is positive/total; NR reports not-reported count.
Fig04,"Leakage, wellbore and containment risk | controlled_release_ml_validation",positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,Lin2020_PressureLeakage;Zhong2019_PressureAnomaly,2,6,Cell annotation is positive/total; NR reports not-reported count.
Fig04,"Leakage, wellbore and containment risk | explicit_ood_testing",positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,Baek2023_WellboreLeakage;ESR_Tang2022_226;ESR_Zheng2025_207;Lin2020_PressureLeakage;Yin2022_XAILeakage;Zhong2019_PressureAnomaly,6,3,Cell annotation is positive/total; NR reports not-reported count.
Fig04,"Leakage, wellbore and containment risk | explicit_cross_site_testing",positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,,0,8,Cell annotation is positive/total; NR reports not-reported count.
Fig04,"Leakage, wellbore and containment risk | uncertainty_calibration_or_posterior_check",positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,ESR_Meng2025_211;ESR_Tang2022_226;VoThanh2026_DigitalTwinGNN;Yin2022_XAILeakage,4,5,Cell annotation is positive/total; NR reports not-reported count.
Fig04,"Leakage, wellbore and containment risk | surrogate_error_propagation",positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,Lin2020_PressureLeakage,1,8,Cell annotation is positive/total; NR reports not-reported count.
Fig04,"Leakage, wellbore and containment risk | any_physical_diagnostic_checked",positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,Baek2023_WellboreLeakage;ESR_Tang2022_226;ESR_Zheng2025_207;VoThanh2026_DigitalTwinGNN;Yin2022_XAILeakage;Zhong2019_PressureAnomaly,6,1,Cell annotation is positive/total; NR reports not-reported count.
Fig04,Operation and control | direct_field_validation,positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,,0,5,Cell annotation is positive/total; NR reports not-reported count.
Fig04,Operation and control | controlled_release_ml_validation,positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,,0,5,Cell annotation is positive/total; NR reports not-reported count.
Fig04,Operation and control | explicit_ood_testing,positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,ESR_Chan2024_124;ESR_Chen2024_119;ESR_Wu2025_042;Lu2022_BayesianOptimization,4,2,Cell annotation is positive/total; NR reports not-reported count.
Fig04,Operation and control | explicit_cross_site_testing,positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,ESR_Wu2025_042,1,4,Cell annotation is positive/total; NR reports not-reported count.
Fig04,Operation and control | uncertainty_calibration_or_posterior_check,positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,ESR_Chan2024_124,1,4,Cell annotation is positive/total; NR reports not-reported count.
Fig04,Operation and control | surrogate_error_propagation,positive count divided by full application-group denominator; missing retained,evidence/WP4_VALIDATION_OUTCOME_PROFILES.csv,,0,7,Cell annotation is positive/total; NR reports not-reported count.
