paper_id,title,authors,year,venue,doi_or_url,peer_review_status,storage_stage,application_area,application_group,decision_supported,data_regime,field_case,ml_method_family,target_outputs,validation_type,field_validation_category,controlled_release_validation_state,ood_test_category,cross_site_test_state,uncertainty_calibration_category,surrogate_error_propagation_category,mass_conservation_diagnostic,pressure_threshold_diagnostic,plume_volume_diagnostic,geomechanics_diagnostic,geochemistry_diagnostic,rock_physics_diagnostic,sensor_physics_diagnostic,field_evidence_score_state,physical_consistency_score_state,uncertainty_score_state,transferability_score_state,decision_readiness_score_state,wp4_main_claim_eligible
Yan2021_RobustDLWorkflow,A robust deep learning workflow to predict multiphase flow behavior during geological CO2 sequestration injection and Post-Injection periods,Bicheng Yan; Bailian Chen; Dylan Robert Harp; Wei Jia; Rajesh J. Pawar,2022,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2022.127542,peer_reviewed_journal,dynamic_prediction,plume/saturation surrogate,Storage dynamics and surrogates,rapid multiphase-flow behavior prediction for storage forecasting,synthetic simulation,none identified,deep learning surrogate,multiphase-flow behavior during CO2 injection and post-injection,held-out simulation or benchmark,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,deterministic_or_confirmed_absent,not_applicable,diagnostic_checked,not_reported,diagnostic_checked,not_reported,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Attanasi2025_ResourceML,Machine learning provides reconnaissance-type estimates of carbon dioxide storage resources in oil and gas reservoirs,Emil Attanasi; Philip Freeman; Timothy Coburn,2025,Frontiers in Environmental Science,https://doi.org/10.3389/fenvs.2025.1562087,peer_reviewed_journal,screening_capacity,site screening,Screening and characterization,reconnaissance storage-resource screening,field-derived reservoir database,US oil and gas reservoirs,supervised machine learning,CO2 storage resource estimates,comparison to engineering storage-resource estimates,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,deterministic_or_confirmed_absent,confirmed_absent,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Baek2023_WellboreLeakage,Enabling site-specific well leakage risk estimation during geologic carbon sequestration using a modular deep-learning-based wellbore leakage model,Seunghwan Baek; Diana H. Bacon; Nicolas J. Huerta,2023,International Journal of Greenhouse Gas Control,https://doi.org/10.1016/j.ijggc.2023.103903,peer_reviewed_journal,risk_response,leakage detection,"Leakage, wellbore and containment risk",site-specific wellbore leakage risk screening,synthetic simulation,none identified,deep learning surrogate,CO2 and brine leakage estimates / wellbore leakage risk,simulation benchmark or model comparison,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,not_reported,confirmed_absent,not_reported,not_reported,diagnostic_checked,encoded_or_simplified,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
ESR_Liu2025_121,Physics-coupled machine learning toolset for geological carbon storage evaluation and performance analysis,Guoxiang Liu; Xiongjun Wu; Chung-Yan Shih; Veronika Vasylkivska; Hema Siriwandane; Grant Bromhal,2026,International Journal of Greenhouse Gas Control,https://doi.org/10.1016/j.ijggc.2025.104538,peer_reviewed_journal,dynamic_prediction,PINN/physics-guided migration,Storage dynamics and surrogates,physics-coupled prediction for geological carbon storage,synthetic simulation,none identified,physics-coupled machine learning,storage response variables,simulation benchmark,not_reported,not_reported,not_reported,not_reported,not_reported,not_applicable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,scored,not_reported,not_reported,scored,yes
Lu2022_BayesianOptimization,Bayesian Optimization for Field-Scale Geological Carbon Storage,Xueying Lu; Kirk E. Jordan; Mary F. Wheeler; Edward O. Pyzer-Knapp; Matthew Benatan,2022,Engineering,https://doi.org/10.1016/j.eng.2022.06.011,peer_reviewed_journal,operation_control,injection optimization,Operation and control,field-scale injection optimization,synthetic simulation,field-scale synthetic case,Bayesian optimization,optimized injection strategy and storage performance,optimization benchmark,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,propagated_into_inference_or_decision,not_reported,not_reported,not_reported,encoded_or_simplified,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
ESR_Chan2024_124,Accelerated Co2 Storage Optimization Using Multi-Resolution Fourier Neural Operator at the Illinois Basin Decatur Project (Ibdp),Chin-Hsiang Chan; Masahiro Nagao; Akhil Datta-Gupta,2024,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.5012232,peer_reviewed_journal,operation_control,injection optimization,Operation and control,accelerated storage optimization at the Illinois Basin Decatur Project,field-inspired simulation,Illinois Basin Decatur Project,neural operator,CO2 storage optimization response variables,simulation / field-project case study,confirmed_absent,confirmed_absent,unseen_parameter_range,confirmed_absent,deterministic_or_confirmed_absent,confirmed_absent,not_reported,not_reported,diagnostic_checked,not_reported,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
ESR_Zheng2025_207,Deep Learning–Assisted Multiobjective Optimization of Geological CO2 Storage Performance under Geomechanical Risks,Fangning Zheng; Martin Ma; Hari Viswanathan; Rajesh Pawar; Birendra Jha; Bailian Chen,2025,SPE Journal,https://doi.org/10.2118/220850-pa,peer_reviewed_journal,operation_control,geomechanics/seal risk,"Leakage, wellbore and containment risk",multiobjective optimization under geomechanical risk,synthetic simulation,none identified,deep learning surrogate,storage performance and geomechanical risk metrics,multiobjective optimization benchmark,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,deterministic_or_confirmed_absent,confirmed_absent,not_reported,not_reported,diagnostic_checked,encoded_or_simplified,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
ESR_Kanakaki2025_045,Application of an Automated Machine Learning-Driven Grid Block Classification Framework to a Realistic Deep Saline Aquifer Model for Accelerating Numerical Simulations of CO2 Geological Storage,Eirini Maria Kanakaki; Sofianos Panagiotis Fotias; Vassilis Gaganis,2025,Processes,https://doi.org/10.3390/pr13082658,peer_reviewed_journal,dynamic_prediction,other storage ML,Cross-cutting and other,accelerate numerical simulation workflows for CO2 storage,synthetic simulation,deep saline aquifer model,automated machine learning,grid-block classification for accelerated CO2 storage simulation,simulation benchmark,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,not_applicable,not_reported,diagnostic_checked,diagnostic_checked,not_reported,encoded_or_simplified,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Yin2022_XAILeakage,De-risking geological carbon storage from high resolution time-lapse seismic to explainable leakage detection,Ziyi Yin; Huseyin Tuna Erdinc; Abhinav Prakash Gahlot; Mathias Louboutin; Felix J. Herrmann,2022,The Leading Edge,https://slim.gatech.edu/Publications/Public/Journals/TheLeadingEdge/2022/yin2022TLEdgc/paper.html,peer_reviewed_or_repository_full_text,risk_response,leakage detection,"Leakage, wellbore and containment risk",seismic leakage detection and explanation,synthetic monitoring,none identified,explainable deep learning classifier,leakage probability / leakage class and explanatory activation maps,synthetic monitoring validation,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,deterministic_or_confirmed_absent,not_applicable,not_reported,diagnostic_checked,not_reported,not_reported,not_reported,encoded_or_simplified,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Crain2023_MonitoringHistory,An integrated framework for optimal monitoring and history matching in CO2 storage projects,Dylan M. Crain; Sally M. Benson; Sarah D. Saltzer; Louis J. Durlofsky,2024,Computational Geosciences,https://doi.org/10.1007/s10596-023-10216-3,peer_reviewed_journal,monitoring_mrv,Bayesian history matching,"Monitoring, inversion and updating",monitoring-well design and history matching for CO2 storage operations,synthetic monitoring,synthetic CO2 storage case,Bayesian/data-assimilation workflow,"monitoring design, history-matched models, and uncertainty reduction",history_matching_or_posterior_check,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,calibrated_or_posterior_checked,not_applicable,not_reported,not_reported,diagnostic_checked,encoded_or_simplified,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
ESR_RefNone_173,Toward Estimating CO2 Solubility in Pure Water and Brine Using Cascade Forward Neural Network and Generalized Regression Neural Network: Application to CO2 Dissolution Trapping in Saline Aquifers,Xinyuan Zou; Yingting Zhu; Jing Lv; Yuchi Zhou; Bin Ding; Weidong Liu; Kai Xiao; Qun Zhang,2024,ACS Omega,https://doi.org/10.1021/acsomega.3c07962,peer_reviewed_journal,dynamic_prediction,geochemistry/trapping,Storage dynamics and surrogates,screening of dissolution-trapping behavior and brine-solubility estimates,experimental/literature database,none identified,neural network regression,CO2 solubility in pure water and brine,train/test benchmark against experimental database,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,deterministic_or_confirmed_absent,not_applicable,not_reported,not_reported,not_reported,not_reported,encoded_or_simplified,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Nassabeh2024_OffshoreSite,"Sub-surface geospatial intelligence in carbon capture, utilization and storage: A machine learning approach for offshore storage site selection",Mehdi Nassabeh; Zhenjiang You; Alireza Keshavarz; Stefan Iglauer,2024,Energy,https://doi.org/10.1016/j.energy.2024.132086,peer_reviewed_journal,screening_capacity,site screening,Screening and characterization,offshore storage-site screening and site-score prediction,field-derived geospatial database,offshore storage-site candidates,supervised machine learning,offshore storage site scores / suitability ranking,cross-validation and held-out benchmark against expert-weighted site scores,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,deterministic_or_confirmed_absent,not_applicable,not_reported,not_reported,not_reported,encoded_or_simplified,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
ESR_Kadeethum2024_128,An improved neural operator framework for large-scale CO2 storage operations,T. Kadeethum; S.J. Verzi; H. Yoon,2024,Geoenergy Science and Engineering,https://doi.org/10.1016/j.geoen.2024.213007,peer_reviewed_journal,dynamic_prediction,neural operator surrogate,Storage dynamics and surrogates,rapid forecast of pressure and CO2 saturation for storage-operation screening,synthetic simulation,not reported,neural operator,pressure and CO2 saturation fields,held-out simulation or benchmark,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,deterministic_or_confirmed_absent,not_applicable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,scored,scored,scored,scored,scored,yes
ESR_Falola2024_123,Application of Neural Operator Technique for Rapid Forecast of CO2 Pressure and Saturation Distribution,Yusuf Falola; Pradyumna Singh Rathore; Geetha Gopakumar Nair; Julianna Toms,2024,Offshore Technology Conference,https://doi.org/10.4043/35230-ms,conference_or_proceedings,dynamic_prediction,neural operator surrogate,Storage dynamics and surrogates,rapid forecast of CO2 pressure and saturation distributions under injection scenarios,synthetic simulation,not reported,neural operator,pressure and CO2 saturation distribution,held-out simulation or benchmark,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,deterministic_or_confirmed_absent,not_applicable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,scored,scored,scored,scored,scored,yes
Witte2023_WNO,Fast CO2 saturation simulations on large-scale geomodels with artificial intelligence-based Wavelet Neural Operators,Philipp A. Witte; Tugrul Konuk; Erik Skjetne; Ranveer Chandra,2023,International Journal of Greenhouse Gas Control,https://doi.org/10.1016/j.ijggc.2023.103880,peer_reviewed_journal,dynamic_prediction,neural operator surrogate,Storage dynamics and surrogates,rapid plume/saturation forecasting for storage scenario screening,field-inspired simulation,Sleipner-inspired geomodel,neural operator,CO2 saturation fields,large-scale geomodel simulation benchmark,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,deterministic_or_confirmed_absent,not_applicable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,scored,scored,scored,scored,scored,yes
