paper_id,dimension,priority,current_category_field,current_category,current_score_field,current_score,boundary_trigger,full_text_question,existing_locator_or_note,pdf_path,required_action,automatic_writeback_allowed,recheck_status
ESR_Um2024_104,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,3,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?","Full text extracted; evidence terms detected: geomechanics, geochemistry, rock/sensor physics",literature\full_text_verified_pdfs\ESR_Um2024_104.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Zhang2025_115,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,3,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?",User-supplied local full-text PDF ingested on 2026-05-31; automated text extraction completed. Human page-level verification is still recommended before detailed prose claims.,literature\full_text_verified_pdfs\ESR_Zhang2025_115.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Zhang2025_178,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,4,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?",User-supplied local full-text PDF ingested on 2026-05-31; automated text extraction completed. Human page-level verification is still recommended before detailed prose claims.,literature\full_text_verified_pdfs\ESR_Zhang2025_178.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Zhou2026_127,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,4,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?",User-supplied local full-text PDF ingested on 2026-05-31; automated text extraction completed. Human page-level verification is still recommended before detailed prose claims.,literature\full_text_verified_pdfs\ESR_Zhou2026_127.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Gahlot2025_DigitalShadow,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,3,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?","Pages 1-2 describe 3D seismic monitoring, multiphase-flow dynamics, neural posterior density estimation, and conditional normalizing flows.",literature\full_text_verified_pdfs\Gahlot2025_DigitalShadow.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Lu2022_BayesianOptimization,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,3,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?",Automated full-text text extraction; page-specific manual notes still recommended.,literature\full_text_verified_pdfs\Lu2022_BayesianOptimization.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Seabra2024_AIEnhancedDA,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,4,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?","Page 1 abstract describes FNO/T-UNet surrogates, SH-ESMDA/SH-RML, high-fidelity posterior states, and GCS uncertainty quantification.",literature\full_text_verified_pdfs\Seabra2024_AIEnhancedDA.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Shokouhi2021_PhysicsInformedSite,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,4,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?",Local full-text PDF ingested on 2026-05-31; automated text extraction completed. Human page-level verification is still recommended before detailed prose claims.,literature\full_text_verified_pdfs\Shokouhi2021_PhysicsInformedSite.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
TARGET_JointInversion2023_2022JB025372,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,4,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?",Methods and case-study sections describe a modified Sleipner synthetic benchmark; Table 5 reports lower joint-inversion RMSE than either modality alone.,literature\full_text_verified_pdfs\TARGET_JointInversion2023_2022JB025372.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Tang2022_DLDataAssimilationForecasting,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,3,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?","Page 1 abstract describes ES-MDA, pressure-history and plume observations, CNN surrogates, forecast uncertainty, and commercial-scale synthetic validation.",literature\full_text_verified_pdfs\Tang2022_DLDataAssimilationForecasting.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Teng2024_LikelihoodFreeDA,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,3,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?","Pages 1-3 describe hierarchical data assimilation, SMC-ABC, ESMDA, 3D recurrent R-U-Net, monitoring-well data, and high-fidelity simulation comparisons.",literature\full_text_verified_pdfs\Teng2024_LikelihoodFreeDA.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Wang2025_4DHistoryMatching,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,3,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?",Automated full-text text extraction; page-specific manual notes still recommended.,literature\full_text_verified_pdfs\Wang2025_4DHistoryMatching.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Witte2023_WNO,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,3,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?",User-supplied local full-text PDF ingested on 2026-05-31; automated text extraction completed. Human page-level verification is still recommended before detailed prose claims.,literature\full_text_verified_pdfs\Witte2023_WNO.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Zhong2019_PressureAnomaly,uncertainty,high,uncertainty_calibration_category,not_reported,uncertainty_score,4,score_at_least_3_without_calibration_or_posterior_check_category,What full-text reliability test supports uncertainty score 3 or 4?,Automated full-text extraction from lawful PDF; page-level notes still needed before detailed prose.,literature\full_text_verified_pdfs\Zhong2019_PressureAnomaly.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Wang2024_089,field_evidence,medium,field_validation_category,field_workflow_evaluation,field_evidence_score,3,legacy_field_label_crosses_controlled_experiment_and_operating_site_boundary,"Was the ML output evaluated in a controlled field experiment, compared with one field case, or used in an operating-site workflow?","Full text extracted; evidence terms detected: geomechanics, geochemistry, rock/sensor physics",literature\full_text_verified_pdfs\ESR_Wang2024_089.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Leong2024_SeisCO2Net,field_evidence,medium,field_validation_category,controlled_field_evaluation,field_evidence_score,3,legacy_field_label_crosses_controlled_experiment_and_operating_site_boundary,"Was the ML output evaluated in a controlled field experiment, compared with one field case, or used in an operating-site workflow?",Automated full-text text extraction; page-specific manual notes still recommended.,literature\full_text_verified_pdfs\Leong2024_SeisCO2Net.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Lin2020_PressureLeakage,field_evidence,medium,field_validation_category,controlled_field_evaluation,field_evidence_score,3,legacy_field_label_crosses_controlled_experiment_and_operating_site_boundary,"Was the ML output evaluated in a controlled field experiment, compared with one field case, or used in an operating-site workflow?",Automated full-text text extraction; page-specific manual notes still recommended.,literature\full_text_verified_pdfs\Lin2020_PressureLeakage.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Lu2025_GISMLSite,field_evidence,medium,field_validation_category,field_workflow_evaluation,field_evidence_score,3,legacy_field_label_crosses_controlled_experiment_and_operating_site_boundary,"Was the ML output evaluated in a controlled field experiment, compared with one field case, or used in an operating-site workflow?","Full text extracted; evidence terms detected: geomechanics, geochemistry, rock/sensor physics",literature\full_text_verified_pdfs\Lu2025_GISMLSite.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Zhong2019_PressureAnomaly,field_evidence,medium,field_validation_category,controlled_field_evaluation,field_evidence_score,3,legacy_field_label_crosses_controlled_experiment_and_operating_site_boundary,"Was the ML output evaluated in a controlled field experiment, compared with one field case, or used in an operating-site workflow?",Automated full-text extraction from lawful PDF; page-level notes still needed before detailed prose.,literature\full_text_verified_pdfs\Zhong2019_PressureAnomaly.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Chan2024_124,transferability,medium,ood_test_category,legacy_explicit_ood_test,transferability_score,2,legacy_ood_label_requires_axis_disaggregation,"Was the held-out axis a parameter range, schedule or boundary, geology or faults, multiple axes, or a true cross-site case?",Automated full-text text extraction; page-specific manual notes still recommended.,literature\full_text_verified_pdfs\ESR_Chan2024_124.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Hassani2024_118,transferability,medium,ood_test_category,legacy_explicit_ood_test,transferability_score,2,legacy_ood_label_requires_axis_disaggregation,"Was the held-out axis a parameter range, schedule or boundary, geology or faults, multiple axes, or a true cross-site case?",User-supplied local full-text PDF ingested on 2026-05-31; automated text extraction completed. Human page-level verification is still recommended before detailed prose claims.,literature\full_text_verified_pdfs\ESR_Hassani2024_118.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Tang2022_226,transferability,medium,ood_test_category,legacy_explicit_ood_test,transferability_score,2,legacy_ood_label_requires_axis_disaggregation,"Was the held-out axis a parameter range, schedule or boundary, geology or faults, multiple axes, or a true cross-site case?","Full text extracted; evidence terms detected: mass, plume, geomechanics, rock/sensor physics, uncertainty, OOD/transfer",literature\full_text_verified_pdfs\ESR_Tang2022_226.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Zhang2025_115,transferability,medium,ood_test_category,legacy_explicit_ood_test,transferability_score,3,legacy_ood_label_requires_axis_disaggregation,"Was the held-out axis a parameter range, schedule or boundary, geology or faults, multiple axes, or a true cross-site case?",User-supplied local full-text PDF ingested on 2026-05-31; automated text extraction completed. Human page-level verification is still recommended before detailed prose claims.,literature\full_text_verified_pdfs\ESR_Zhang2025_115.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Leong2024_SeisCO2Net,transferability,medium,ood_test_category,legacy_explicit_ood_test,transferability_score,2,legacy_ood_label_requires_axis_disaggregation,"Was the held-out axis a parameter range, schedule or boundary, geology or faults, multiple axes, or a true cross-site case?",Automated full-text text extraction; page-specific manual notes still recommended.,literature\full_text_verified_pdfs\Leong2024_SeisCO2Net.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Lin2020_PressureLeakage,transferability,medium,ood_test_category,legacy_explicit_ood_test,transferability_score,2,legacy_ood_label_requires_axis_disaggregation,"Was the held-out axis a parameter range, schedule or boundary, geology or faults, multiple axes, or a true cross-site case?",Automated full-text text extraction; page-specific manual notes still recommended.,literature\full_text_verified_pdfs\Lin2020_PressureLeakage.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Seabra2024_AIEnhancedDA,transferability,medium,ood_test_category,legacy_explicit_ood_test,transferability_score,3,legacy_ood_label_requires_axis_disaggregation,"Was the held-out axis a parameter range, schedule or boundary, geology or faults, multiple axes, or a true cross-site case?","Page 1 abstract describes FNO/T-UNet surrogates, SH-ESMDA/SH-RML, high-fidelity posterior states, and GCS uncertainty quantification.",literature\full_text_verified_pdfs\Seabra2024_AIEnhancedDA.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Tang2022_DLDataAssimilationForecasting,transferability,medium,ood_test_category,legacy_explicit_ood_test,transferability_score,3,legacy_ood_label_requires_axis_disaggregation,"Was the held-out axis a parameter range, schedule or boundary, geology or faults, multiple axes, or a true cross-site case?","Page 1 abstract describes ES-MDA, pressure-history and plume observations, CNN surrogates, forecast uncertainty, and commercial-scale synthetic validation.",literature\full_text_verified_pdfs\Tang2022_DLDataAssimilationForecasting.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Tang2024_GNNFaulted,transferability,medium,ood_test_category,legacy_explicit_ood_test,transferability_score,3,legacy_ood_label_requires_axis_disaggregation,"Was the held-out axis a parameter range, schedule or boundary, geology or faults, multiple axes, or a true cross-site case?",Automated full-text text extraction; page-specific manual notes still recommended.,literature\full_text_verified_pdfs\Tang2024_GNNFaulted.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
VoThanh2026_DigitalTwinGNN,transferability,medium,ood_test_category,legacy_explicit_ood_test,transferability_score,3,legacy_ood_label_requires_axis_disaggregation,"Was the held-out axis a parameter range, schedule or boundary, geology or faults, multiple axes, or a true cross-site case?",Page 1 frames the model as an emulator rather than a conservation-enforcing THMC solver; the results report reliability diagnostics and less than 3% relative cumulative plume-volume difference.,literature\full_text_verified_pdfs\VoThanh2026_DigitalTwinGNN.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Wen2021_PlumeDNN,transferability,medium,ood_test_category,legacy_explicit_ood_test,transferability_score,3,legacy_ood_label_requires_axis_disaggregation,"Was the held-out axis a parameter range, schedule or boundary, geology or faults, multiple axes, or a true cross-site case?",Automated full-text extraction from lawful PDF; page-level notes still needed before detailed prose.,literature\full_text_verified_pdfs\Wen2021_PlumeDNN.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Wen2022_UFNO,transferability,medium,ood_test_category,legacy_explicit_ood_test,transferability_score,2,legacy_ood_label_requires_axis_disaggregation,"Was the held-out axis a parameter range, schedule or boundary, geology or faults, multiple axes, or a true cross-site case?","Full text extracted; evidence terms detected: pressure, plume, rock/sensor physics",literature\full_text_verified_pdfs\Wen2022_UFNO.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Zhong2019_PressureAnomaly,transferability,medium,ood_test_category,legacy_explicit_ood_test,transferability_score,2,legacy_ood_label_requires_axis_disaggregation,"Was the held-out axis a parameter range, schedule or boundary, geology or faults, multiple axes, or a true cross-site case?",Automated full-text extraction from lawful PDF; page-level notes still needed before detailed prose.,literature\full_text_verified_pdfs\Zhong2019_PressureAnomaly.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Tang2022_226,uncertainty,medium,uncertainty_calibration_category,legacy_uncertainty_calibration_or_posterior_check,uncertainty_score,3,legacy_uncertainty_label_requires_test_type,"Does the paper report calibration or interval reliability, a posterior predictive check, or only a posterior distribution?","Full text extracted; evidence terms detected: mass, plume, geomechanics, rock/sensor physics, uncertainty, OOD/transfer",literature\full_text_verified_pdfs\ESR_Tang2022_226.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Mo2018_EncoderDecoderUQ,uncertainty,medium,uncertainty_calibration_category,legacy_uncertainty_calibration_or_posterior_check,uncertainty_score,3,legacy_uncertainty_label_requires_test_type,"Does the paper report calibration or interval reliability, a posterior predictive check, or only a posterior distribution?",Automated full-text extraction from lawful PDF; page-level notes still needed before detailed prose.,literature\full_text_verified_pdfs\Mo2018_EncoderDecoderUQ.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Zhang2021_LearningInversionFreeForecast,uncertainty,medium,uncertainty_calibration_category,legacy_uncertainty_calibration_or_posterior_check,uncertainty_score,3,legacy_uncertainty_label_requires_test_type,"Does the paper report calibration or interval reliability, a posterior predictive check, or only a posterior distribution?",Automated full-text extraction from lawful PDF; page-level notes still needed before detailed prose.,literature\full_text_verified_pdfs\Zhang2021_LearningInversionFreeForecast.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
