paper_id,title,application_group,wp5_main_package,locked_ml_method_family,locked_specific_model,decision_supported,primary_method_family_id,primary_method_family,secondary_method_family_id,secondary_method_family,mapping_confidence,mapping_status,mapping_basis,ambiguity_note,quantitative_use,source_fields,wp9_8_r1_analysis_version,wp9_8_r1_review_item_id,wp9_8_r1_reviewer,wp9_8_r1_review_date,wp9_8_r1_evidence_locator,wp9_8_r1_source_workbook_sha256
ESR_Kanakaki2025_045,Application of an Automated Machine Learning-Driven Grid Block Classification Framework to a Realistic Deep Saline Aquifer Model for Accelerating Numerical Simulations of CO2 Geological Storage,Cross-cutting and other,P3_plume_trapping,automated machine learning,automated ML-driven grid-block classification framework,accelerate numerical simulation workflows for CO2 storage,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Liu2025_121,Physics-coupled machine learning toolset for geological carbon storage evaluation and performance analysis,Storage dynamics and surrogates,P3_plume_trapping,physics-coupled machine learning,physics-coupled ML workflow,physics-coupled prediction for geological carbon storage,F2_physics_guided_informed,Physics-guided and physics-informed models,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Lozano2025_215,Unified deep-learning workflow for uncertainty reduction in subsurface carbon storage modeling through data assimilation of seismic-inverted CO2 maps,"Monitoring, inversion and updating",P4_monitoring_mrv,deep learning plus data assimilation,unified deep-learning workflow,uncertainty reduction and model updating for storage monitoring,F7_digital_twin_monitoring_updated,Digital-twin or monitoring-updated systems,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Meng2025_211,Multiobjective optimization of CO2 injection under geomechanical risk in high water cut oil reservoirs using artificial intelligence approaches,"Leakage, wellbore and containment risk",P7_geomechanics_seal,not specified,unknown,"assess seal, fault, or induced-seismicity risk",F6_control_reinforcement_learning,Control and reinforcement-learning workflows,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Nunez2023_166,Transfer learning for geological carbon storage forecasting using neural operator,Storage dynamics and surrogates,P3_plume_trapping,neural operator / transfer learning,Fourier Neural Operator with transfer learning,rapid pressure/saturation forecasts across geological and engineering scenarios,F3_neural_operator_multifidelity,Neural operators and multi-fidelity surrogates,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Park2025_223,Deep learning-assisted THM-integrated InSAR modeling for CO2 storage characterization and surface deformation forecasting,"Leakage, wellbore and containment risk",P7_geomechanics_seal,deep learning,deep-learning-assisted THM/InSAR modeling workflow,storage characterization and deformation-risk monitoring,F7_digital_twin_monitoring_updated,Physics-guided and physics-informed models,F2_physics_guided_informed,Digital-twin or monitoring-updated systems,author_verified,author_verified_wp9_8_r1,主要推断角色是用InSAR观测更新地下表征并预测未来羽流/形变，故主类改为F7；THM物理耦合作为关键次要机制保留F2。,Resolved by signed WP9.8-R1 author review.,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,M03,Yangqi Ma,2026-08-01,"PDF pp. 1–2, Abstract; pp. 10–20, characterization and forecast results",3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
ESR_Pawar2023_168,Efficient Subsurface Carbon Storage Modeling with Fourier Neural Operator,Storage dynamics and surrogates,P3_plume_trapping,neural operator,Fourier Neural Operator,rapid simulation response estimates for storage modeling,F3_neural_operator_multifidelity,Neural operators and multi-fidelity surrogates,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_RefNone_173,Toward Estimating CO2 Solubility in Pure Water and Brine Using Cascade Forward Neural Network and Generalized Regression Neural Network: Application to CO2 Dissolution Trapping in Saline Aquifers,Storage dynamics and surrogates,P3_plume_trapping,neural network regression,cascade forward neural network and generalized regression neural network,screening of dissolution-trapping behavior and brine-solubility estimates,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Tang2022_226,Deep learning-accelerated 3D carbon storage reservoir pressure forecasting based on data assimilation using surface displacement from InSAR,"Leakage, wellbore and containment risk",P7_geomechanics_seal,deep learning,DNN,"assess seal, fault, or induced-seismicity risk",F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Tang2024_135,Multi-fidelity Fourier neural operator for fast modeling of large-scale geological carbon storage,Storage dynamics and surrogates,P3_plume_trapping,neural operator,FNO/U-FNO,accelerate ensemble forecasts for pressure/plume decisions,F3_neural_operator_multifidelity,Neural operators and multi-fidelity surrogates,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Tariq2023_174,Physics Informed Surrogate Model Development in Predicting Dynamic Temporal and Spatial Variations During CO2 Injection into Deep Saline Aquifers,Storage dynamics and surrogates,P3_plume_trapping,physics-informed surrogate / neural operator,physics-informed surrogate with Fourier neural operator components,rapid prediction of injection-stage storage response in saline aquifers,F3_neural_operator_multifidelity,Neural operators and multi-fidelity surrogates,F2_physics_guided_informed,Physics-guided and physics-informed models,author_verified,author_verified_wp9_8_r1,论文的核心可计算角色是用FNO替代高保真储层求解器，主类F3；控制方程和物理变量进入训练设计，作为次类F2。,Resolved by signed WP9.8-R1 author review.,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,M04,Yangqi Ma,2026-08-01,"PDF p. 1, Abstract; pp. 6–12, FNO architecture and results",3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
ESR_Um2024_091,Real-time deep-learning inversion of seismic full waveform data for CO2 saturation and uncertainty in geological carbon storage monitoring,"Monitoring, inversion and updating",P4_monitoring_mrv,not specified,unknown,update plume/saturation interpretation,F5_probabilistic_generative_inversion,Probabilistic and generative inversion,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Um2024_104,Deep learning multiphysics network for imaging CO2 saturation and estimating uncertainty in geological carbon storage,"Monitoring, inversion and updating",P4_monitoring_mrv,deep learning,DNN,update plume/saturation uncertainty,F5_probabilistic_generative_inversion,Digital-twin or monitoring-updated systems,F7_digital_twin_monitoring_updated,Probabilistic and generative inversion,author_verified,author_verified_wp9_8_r1,核心推断任务是由地震、电磁和重力数据反演CO₂饱和度并估计图像不确定性，故主类改为F5；实时监测用途作为次类F7。,Resolved by signed WP9.8-R1 author review.,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,M05,Yangqi Ma,2026-08-01,"PDF p. 3, Abstract; pp. 14–19, multiphysics inversion and uncertainty results",3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
ESR_Vishal2025_213,"AI-Driven Reservoir Characterization for CO2 Storage: Integrating CNNs for Seismic Interpretation, Machine Learning, and Statistical Validation for Uncertainty Quantification, Risk Mitigation, and Storage Optimization in the Cauvery Basin",Operation and control,P1_screening_capacity,CNN and machine learning,CNN-based seismic interpretation and ML/statistical validation workflow,risk-mitigated site characterization and storage optimization,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,Control and reinforcement-learning workflows,author_verified,author_verified_wp9_8_r1,实证工作是CNN与树模型的储层表征和属性预测，主类F1；文中仅声称可支持实时决策，没有实际控制或强化学习机制，因此删除F6次类。,Resolved by signed WP9.8-R1 author review.,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,M06,Yangqi Ma,2026-08-01,"PDF pp. 3–7, data/CNN–ML workflow; pp. 14–15, conclusions",3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
ESR_Wang2024_089,Machine learning and deep learning for mineralogy interpretation and CO2 saturation estimation in geological carbon Storage: A case study in the Illinois Basin,"Monitoring, inversion and updating",P4_monitoring_mrv,deep learning,DNN,update plume/saturation interpretation,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Wu2025_042,A Lightweight Machine Learning-Driven Framework for Prediction and Multi-Objective Optimization of CO2 Geological Storage,Operation and control,P2_pressure_control,machine-learning surrogate / optimization,lightweight ML-driven prediction and multi-objective optimization framework,multi-objective storage operation/design optimization,F6_control_reinforcement_learning,Control and reinforcement-learning workflows,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Zhang2025_115,A Dynamic and Constrained Machine Learning Framework for CO2 Saturation Prediction in Geological Carbon Storage Reservoirs,Storage dynamics and surrogates,P3_plume_trapping,constrained deep learning,dynamic constrained machine-learning framework,plume/saturation forecasting for storage monitoring and model update,F2_physics_guided_informed,Physics-guided and physics-informed models,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Zhang2025_178,Physics-Informed Neural Networks for CO2 migration modeling in stratified saline aquifers: Applications in geological carbon sequestration,Storage dynamics and surrogates,P3_plume_trapping,PINN,subdomain and self-adaptive physics-informed neural networks,physics-guided assessment of migration regimes and plume evolution,F2_physics_guided_informed,Physics-guided and physics-informed models,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Zheng2025_207,Deep Learning-Assisted Multiobjective Optimization of Geological CO2 Storage Performance under Geomechanical Risks,"Leakage, wellbore and containment risk",P7_geomechanics_seal,deep learning surrogate,deep-learning-assisted multiobjective optimization,multiobjective optimization under geomechanical risk,F6_control_reinforcement_learning,Control and reinforcement-learning workflows,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Zhou2026_127,Multiresolution Fourier Neural Operator Framework: A Novel Approach for Hydro-Geochemical Coupling Modeling in CO2 Geological Storage,Storage dynamics and surrogates,P3_plume_trapping,neural operator,Multiresolution Fourier Neural Operator,rapid hydro-geochemical response modeling for storage scenarios,F3_neural_operator_multifidelity,Neural operators and multi-fidelity surrogates,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Gahlot2025_DigitalShadow,An uncertainty-aware digital shadow for underground multimodal CO2 storage monitoring,Unmapped applications,P4_monitoring_mrv,simulation-based inference,conditional normalizing flows for neural posterior density estimation,monitoring update of CO2 plume state and uncertainty for MRV-facing surveillance,F7_digital_twin_monitoring_updated,Digital-twin or monitoring-updated systems,F5_probabilistic_generative_inversion,Probabilistic and generative inversion,author_verified,author_verified_wp9_8_r1,主要角色是以监测数据维护快速更新的数字影子/状态估计，故主类F7；贝叶斯后验反演是实现更新的次要机制，保留F5。,Resolved by signed WP9.8-R1 author review.,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,M07,Yangqi Ma,2026-08-01,"PDF pp. 1–3, digital-shadow workflow and posterior update",3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
Han2024_HierarchicalMCMC,Surrogate model for geological CO2 storage and its use in hierarchical MCMC history matching,"Monitoring, inversion and updating",P4_monitoring_mrv,surrogate + Bayesian inference,surrogate model + hierarchical MCMC,history matching and posterior forecasting,F5_probabilistic_generative_inversion,Probabilistic and generative inversion,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Jiang2024_DSIHistoryMatching,History matching for geological carbon storage using data-space inversion with spatio-temporal data parameterization,"Monitoring, inversion and updating",P4_monitoring_mrv,data-space inversion,data-space inversion with spatio-temporal parameterization,history matching with spatio-temporal data,F5_probabilistic_generative_inversion,Probabilistic and generative inversion,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Leong2024_SeisCO2Net,Time-lapse seismic inversion for CO2 saturation with SeisCO2Net: An application to Frio-II site,"Monitoring, inversion and updating",P4_monitoring_mrv,deep learning,SeisCO2Net,estimate saturation/plume state from field seismic monitoring,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Lin2020_PressureLeakage,Normal or abnormal? Machine learning for the leakage detection in carbon sequestration projects using pressure field data,"Leakage, wellbore and containment risk",P5_leakage_response,machine learning classifier,pressure-field leakage classifier,flag pressure anomalies for leakage investigation,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Lu2022_BayesianOptimization,Bayesian Optimization for Field-Scale Geological Carbon Storage,Operation and control,P2_pressure_control,Bayesian optimization,Bayesian optimization / Gaussian-process optimization,field-scale injection optimization,F6_control_reinforcement_learning,Control and reinforcement-learning workflows,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Lu2025_GISMLSite,Optimisation study of carbon dioxide geological storage sites based on GIS and machine learning algorithms,Screening and characterization,P1_screening_capacity,RF; LightGBM; XGBoost; SVM; ANN,RF; LightGBM; XGBoost; SVM; ANN,suitability maps and site rankings,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Mo2018_EncoderDecoderUQ,Deep convolutional encoder-decoder networks for uncertainty quantification of dynamic multiphase flow in heterogeneous media,Storage dynamics and surrogates,P3_plume_trapping,CNN encoder-decoder,deep convolutional encoder-decoder network,rapid uncertainty-aware multiphase-flow prediction for storage-relevant forecasts,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Nassabeh2024_OffshoreSite,Sub-surface geospatial intelligence in CCUS: A machine learning approach for offshore storage site selection,Screening and characterization,P1_screening_capacity,supervised machine learning,"DNN, XGBoost, random forest, and MLELM site-score predictors",offshore storage-site screening and site-score prediction,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Seabra2024_AIEnhancedDA,AI enhanced data assimilation and uncertainty quantification applied to Geological Carbon Storage,"Monitoring, inversion and updating",P4_monitoring_mrv,neural surrogate plus data assimilation,Fourier Neural Operator; Transformer U-Net; surrogate-based hybrid ESMDA; surrogate-based hybrid RML,posterior forecasting and uncertainty quantification for storage monitoring,F5_probabilistic_generative_inversion,Probabilistic and generative inversion,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Shokouhi2021_PhysicsInformedSite,Physics-informed deep learning for prediction of CO2 storage site response,Storage dynamics and surrogates,P3_plume_trapping,physics-informed deep learning,physics-informed deep-learning model,prediction of storage-site response under physics-informed constraints,F2_physics_guided_informed,Physics-guided and physics-informed models,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
TARGET_DRLGeoRisk2026_214483,Deep reinforcement learning optimizing for geological CO2 storage considering geomechanical and leakage risks,Operation and control,P2_pressure_control,deep reinforcement learning,CNN policy trained with proximal policy optimization and a GRU-FNO environment surrogate,"optimize injection schedules subject to pressure, geomechanical, and leakage constraints",F6_control_reinforcement_learning,Control and reinforcement-learning workflows,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
